time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.70629,-0.75058,8.62990
0.015,0.20710,-0.26456,9.61392
0.051,0.60214,-0.49680,10.37886
0.084,0.33040,-0.72664,10.09755
0.121,0.30406,-0.60573,9.46428
0.155,0.84635,-0.74579,10.16578
0.192,0.76495,-0.60693,9.81742
0.225,0.70030,-0.42617,9.69891
0.262,1.05465,-0.20830,9.87728
0.296,0.57700,-0.33399,9.77313
0.332,0.48602,-0.46208,9.77433
0.364,1.00796,-0.45610,10.16698
0.401,0.45969,-0.48602,9.95629
0.436,0.68235,-0.56623,9.59237
0.472,1.26534,-0.56264,10.43633
0.505,0.64763,-0.55067,9.75757
0.542,0.73263,-0.53391,9.72525
0.578,1.17316,-0.80565,10.01495
0.616,1.45687,-0.79607,9.65342
0.652,1.95726,-1.03549,9.19254
0.692,2.72460,-0.91578,8.59518
0.725,2.40258,-0.62608,8.42879
0.778,2.70305,-0.88705,8.10796
0.801,2.45286,-0.48722,8.28154
0.838,2.26851,-0.13527,9.15662
0.865,2.12845,-0.65362,9.71567
0.905,2.20745,-0.25379,10.00776
0.936,1.85910,-0.17478,10.12149
0.978,1.97282,-0.58419,10.21845
1.006,2.39899,-0.37230,9.69891
1.042,2.83354,-0.35674,10.00776
1.076,3.30879,-0.76854,9.77193
1.112,2.10690,-0.98282,10.82538
1.154,2.59531,-0.46567,9.97664
1.190,2.88142,-0.56982,11.27310
1.222,2.89698,-0.00958,12.35288
1.264,3.05261,0.37469,12.45703
1.292,3.73136,0.96606,12.60547
1.327,2.59891,1.56940,13.32493
1.361,2.64799,0.98521,14.82849
1.397,4.20542,1.95247,15.08826
1.436,3.46441,2.03028,14.18205
1.474,3.91931,2.36188,14.17128
1.505,3.40934,2.54264,13.27226
1.542,2.86825,3.32195,12.45224
1.577,2.93769,3.85347,11.95664
1.612,2.24337,4.51307,10.42196
1.652,1.79086,4.67827,9.49181
1.685,0.41779,4.83030,7.42801
1.721,0.62010,4.33949,7.30471
1.756,0.42617,3.55778,5.71137
1.792,-0.08859,3.37702,4.28323
1.827,-0.38188,3.36385,2.76051
1.863,-1.44729,3.34231,0.92775
1.897,-2.17154,3.40455,-1.16837
1.933,-2.90536,3.35308,-2.07098
1.967,-3.58412,3.22260,-3.52905
2.002,-4.45441,2.86227,-4.66750
2.037,-4.91051,2.90656,-5.42287
2.072,-5.00987,3.29322,-7.19936
2.105,-5.71616,2.93529,-7.86016
2.142,-6.97910,3.42491,-11.40478
2.176,-7.92361,4.16352,-13.67568
2.212,-9.73123,3.87861,-15.62097
2.251,-10.49019,3.89776,-17.84758
2.282,-11.83933,4.74052,-18.64125
2.316,-14.01685,5.20260,-24.01624
2.352,-13.73314,4.27964,-26.19736
2.385,-9.44872,-0.94930,-19.69231
2.422,-0.61292,-16.69596,18.45092
2.458,9.03572,-39.18470,10.82538
2.497,17.86673,-2.21105,10.69969
2.532,4.57891,22.97476,15.24388
2.566,-16.99045,1.66876,8.85017
2.602,3.50152,8.59997,9.45111
2.636,6.37815,8.85974,13.55118
2.676,-3.65834,11.18451,4.68306
2.712,1.51553,7.31309,5.62877
2.746,1.63763,6.82108,7.44118
2.782,2.29005,6.25725,6.31710
2.821,1.32280,7.77996,5.26485
2.856,1.55503,8.55089,6.83185
2.892,0.06584,8.16303,3.60926
2.926,1.67115,9.32422,5.00508
2.962,1.45089,7.52976,6.56251
3.001,0.90860,8.89805,3.45723
3.032,0.71587,9.18296,6.10521
3.069,-0.28730,7.90206,6.25844
3.102,-0.31963,7.31189,4.82312
3.139,0.43934,7.84939,5.71017
3.172,0.21668,8.71250,6.32428
3.207,-0.15203,9.02734,5.29478
3.242,0.16041,8.66222,5.68264
3.276,0.01437,8.36175,5.34266
3.312,-0.31843,8.26359,4.66630
3.345,0.37110,8.39048,4.75967
3.382,0.56623,8.29112,4.83988
3.423,0.40701,8.42041,4.60764
3.452,-0.05507,8.31267,4.48314
3.494,0.11851,8.16902,4.38259
3.526,0.43335,7.65426,4.05937
3.562,-0.44412,6.86537,3.46561
3.596,-0.11133,4.69024,1.62447
3.632,-0.24421,2.03627,-0.52792
3.665,-0.44053,2.84551,0.26815
3.702,-0.74579,1.57179,0.62608
3.736,-1.75495,0.58778,-0.08619
3.800,-2.23140,2.67672,1.32280
3.813,-4.48793,1.79685,4.36224
3.846,-2.24935,3.35188,2.37385
3.882,-1.66397,1.45687,8.94833
3.922,1.35751,0.82480,10.71884
3.956,5.01346,-1.04148,16.04235
4.002,6.34344,-2.54264,17.78174
4.025,5.34027,-3.56377,17.51718
4.062,6.24168,-2.01233,18.30607
4.096,5.45639,-2.28886,17.78413
4.132,5.44082,-1.75016,16.25902
4.172,4.09169,-2.53546,14.25627
4.206,3.99951,-1.94170,14.31014
4.242,2.87783,-2.62883,13.36324
4.282,3.38181,-2.68749,13.30817
4.316,2.75333,-3.02986,12.32655
4.353,2.24816,-2.36547,11.26232
4.386,1.70707,-2.20626,10.35492
4.422,2.03507,-2.05782,9.61152
4.456,1.53109,-2.08774,8.42041
4.493,1.80762,-1.66277,8.84777
4.539,1.78607,-1.72502,8.69933
4.565,1.92973,-1.31083,8.33422
4.607,2.00036,-1.50236,8.95791
4.636,1.80643,-1.10014,8.93516
4.673,2.16196,-1.11211,8.81066
4.706,2.85987,-1.20787,9.43196
4.742,1.52989,-1.49757,9.21887
4.777,0.69312,-0.93853,8.66462
4.813,0.91099,-1.22224,9.60793
4.846,1.15281,-0.97564,9.18176
4.882,1.92374,-0.77213,10.77151
4.916,0.83917,-0.68235,10.12508
4.952,0.45011,-0.84156,9.42118
4.985,0.22625,-0.83079,9.40562
5.031,0.41300,-0.79966,10.43034
5.068,0.98043,-0.66080,9.88925
5.100,0.70868,-0.97324,9.70849
5.126,0.33519,-0.72664,8.70292
5.161,0.91339,-0.75657,9.78750
5.195,1.38744,-0.94092,10.30584
5.233,0.96845,-0.92656,9.39724
5.264,0.59855,-0.53271,9.50019
