time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,2.71024,-0.77452,8.20613
0.017,3.40934,-0.69432,8.50301
0.051,2.39300,-1.06063,9.80545
0.085,2.87185,-1.27372,9.78750
0.120,2.88262,-0.95888,9.36372
0.155,2.86825,-1.20309,9.45590
0.191,2.82037,-1.09774,9.38527
0.225,2.85030,-1.11690,9.28591
0.260,2.97719,-0.98761,9.40442
0.295,2.93170,-1.11091,9.41161
0.331,2.90417,-1.02352,9.33619
0.365,3.02986,-1.11211,9.52054
0.399,2.88860,-0.99838,9.54089
0.435,2.89818,-1.06422,9.47266
0.471,2.86347,-0.97803,9.34577
0.506,2.88621,-1.06662,9.46907
0.541,2.85868,-0.95170,9.29549
0.576,3.02388,-1.10014,9.39485
0.611,3.10528,-1.12049,9.44153
0.646,2.91015,-1.00796,9.32542
0.680,2.99155,-0.97803,9.30387
0.722,3.02867,-1.04627,9.05727
0.751,3.20464,-1.14922,9.31943
0.787,3.11127,-1.37427,9.23324
0.822,3.20105,-1.21865,9.15902
0.859,3.08373,-1.22583,9.02494
0.896,3.30041,-1.26773,8.94115
0.931,3.35667,-1.28090,8.73764
0.967,3.65116,-1.16238,8.89805
1.002,3.89537,-1.30245,8.90763
1.037,3.76847,-1.62447,8.70173
1.071,4.26288,-1.68312,8.76398
1.107,4.55617,-1.58496,8.88488
1.141,4.23893,-1.61010,7.99065
1.175,4.87220,-1.78368,8.80827
1.211,4.58729,-1.88663,8.48385
1.251,4.52744,-1.76213,8.74602
1.280,4.44244,-1.68672,8.40604
1.316,4.30238,-1.84593,8.59040
1.353,4.17908,-1.86987,8.67539
1.393,4.60285,-1.99676,8.85615
1.420,4.82671,-2.05542,9.24521
1.456,4.51786,-1.91416,8.97347
1.491,4.83509,-1.64601,9.51097
1.526,4.72256,-1.54905,9.58758
1.560,4.89973,-1.31681,9.42118
1.595,5.01346,-1.03669,9.92875
1.631,4.33829,-0.33040,11.62026
1.666,1.78248,-0.76614,11.46224
1.700,2.12007,0.07183,13.13938
1.743,3.81157,0.51116,13.04840
1.771,5.22894,0.97444,13.48534
1.810,4.97755,1.05824,13.48055
1.840,5.20499,1.91297,14.10664
1.876,4.64475,2.95205,13.76427
1.911,4.46758,2.84551,13.29620
1.946,4.35146,3.03704,12.99573
1.980,3.32914,3.49194,10.72124
2.016,2.89818,4.05578,10.69610
2.051,2.66235,4.12641,9.30746
2.086,2.10929,4.93924,7.09881
2.120,0.56743,4.65433,7.24725
2.155,0.31125,5.01825,5.57250
2.191,-0.43574,4.66630,4.09169
2.231,-0.77692,4.53222,2.61806
2.260,-1.53349,3.60567,1.75256
2.296,-1.98479,3.64278,0.14964
2.331,-3.16154,3.56018,-1.42455
2.366,-3.79361,3.36146,-2.91374
2.400,-4.61004,3.07535,-4.34069
2.436,-5.35583,3.16274,-6.12676
2.471,-6.39611,3.05740,-8.30429
2.506,-7.13712,3.70622,-11.06361
2.540,-8.34978,3.97078,-13.09509
