time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,2.92332,-1.45927,8.37731
0.013,3.29801,-0.78051,9.03572
0.048,3.36266,-1.20189,9.19254
0.085,3.22020,-1.15640,9.39724
0.119,3.26090,-1.04507,9.36013
0.154,3.16513,-1.18034,9.09078
0.189,3.36864,-1.19950,9.32063
0.225,3.45004,-1.18752,9.38527
0.259,3.27766,-1.10373,9.25359
0.294,3.21302,-1.12887,9.12909
0.328,3.37822,-1.11450,9.20571
0.365,3.38061,-1.23780,9.30028
0.399,3.25971,-1.16478,9.11473
0.434,3.33632,-1.21266,9.33020
0.469,3.36984,-1.20907,9.45949
0.505,3.27407,-1.19471,9.19613
0.539,3.36385,-1.21625,9.40083
0.575,3.36625,-1.28090,9.29669
0.609,3.24534,-1.33357,9.15543
0.663,3.39977,-1.42575,8.79151
0.701,3.51589,-1.50476,8.74003
0.735,3.44645,-1.46286,8.32703
0.776,3.79481,-1.49757,8.52336
0.809,3.95402,-1.47124,8.70412
0.845,4.06535,-1.36709,8.91242
0.879,3.64038,-1.25097,9.21289
0.914,3.99233,-1.49638,9.37689
0.949,3.98036,-1.53827,9.44153
0.986,4.10965,-1.72742,9.36253
1.025,4.63996,-1.83276,9.33619
1.063,4.23175,-2.06500,8.87890
1.095,4.46040,-2.05063,8.47787
1.132,4.70341,-2.07098,8.61673
1.165,4.57173,-2.13563,8.28873
1.205,4.43885,-2.31759,8.03973
1.238,4.72855,-2.11288,7.97030
1.274,4.96079,-2.22900,8.18937
1.309,4.20063,-2.12485,8.11036
1.346,3.85227,-1.93332,7.26281
1.385,4.54659,-2.49715,7.97748
1.420,4.43406,-2.34871,8.02417
1.455,5.14275,-2.75692,8.46111
1.489,5.42526,-2.90177,8.27915
1.529,4.85065,-2.96881,7.91403
1.560,4.93445,-2.96163,7.94157
1.595,4.58609,-3.31597,7.70215
1.634,5.04698,-3.08134,8.26119
1.669,4.13957,-2.82396,7.91523
1.705,4.18387,-4.13838,8.43118
1.741,4.27724,-3.56975,9.29669
1.775,5.18824,-3.69066,9.44034
1.809,4.59806,-3.35308,9.21768
1.846,3.79601,-3.17950,9.58279
1.890,4.10606,-2.89339,9.58399
1.914,3.90973,-2.47082,9.59955
1.950,3.77206,-2.44568,9.93833
1.986,3.74214,-2.21942,10.07121
2.026,3.93966,-1.71185,10.97263
2.059,3.92529,-1.93092,11.46104
2.097,4.77164,-1.55264,12.53006
2.134,4.81833,-0.96007,12.28465
2.169,3.78523,-0.39863,11.73279
2.206,3.82593,-0.18914,11.89200
2.246,3.47638,0.66798,11.16775
2.290,3.63919,1.18034,11.59991
2.320,3.27886,1.81361,9.94192
2.355,3.40575,1.65918,10.45069
