time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,2.96282,1.08457,10.59793
0.020,0.82959,1.64960,9.06924
0.064,1.26055,1.47842,9.79468
0.100,1.37906,1.48680,9.37210
0.141,1.75974,1.34554,9.58519
0.180,1.95247,1.08577,9.97305
0.220,1.34913,1.34315,9.46308
0.261,1.73699,1.27970,9.77433
0.300,1.78368,1.31083,9.83778
0.341,1.38983,1.33237,9.55526
0.380,1.41856,1.28808,9.59476
0.421,1.54306,1.19112,9.85693
0.461,1.50835,1.18513,9.76595
0.500,1.54306,1.17076,9.67976
0.541,1.58017,1.15281,9.97305
0.580,1.29167,1.16238,9.46907
0.621,1.68073,1.01155,9.38407
0.661,1.84952,0.93972,9.56005
0.700,2.13084,1.05225,9.19014
0.740,2.30202,1.41378,9.24401
0.780,2.40737,1.28090,9.47266
0.820,3.36505,0.33758,7.98347
0.860,2.99754,0.23224,6.75644
0.901,3.24534,0.94571,6.99705
0.940,3.13042,0.27174,7.79193
0.981,2.67791,0.34477,6.88453
1.021,3.76009,-0.21787,7.24366
1.060,4.33470,-1.08338,8.82503
1.101,5.04458,-1.19590,9.04769
1.141,4.75010,-1.66158,10.19930
1.181,5.81432,-1.18513,11.14022
1.220,6.61877,-1.32998,11.44069
1.261,5.81791,-0.88107,10.75954
1.300,5.76524,-1.49039,11.00615
1.341,5.21577,-0.71587,10.68412
1.381,4.61482,-0.21428,10.51294
1.412,5.57849,-0.03711,11.77828
1.450,7.30950,0.65242,13.91510
1.490,4.25091,-1.11929,13.48414
1.534,4.78960,1.61249,14.39035
1.570,5.50427,1.18752,14.86919
1.610,5.47434,1.70228,14.37239
1.651,6.02381,2.37146,13.83011
1.687,5.60483,2.51870,13.17410
1.721,4.65792,3.33752,11.47182
1.760,4.18866,3.57454,10.87686
1.801,2.94008,4.80397,8.15106
1.841,1.40540,5.04219,7.71412
1.874,0.26097,5.22774,6.67863
1.911,0.32801,5.00987,5.50427
1.944,-0.13408,4.31794,4.17070
1.983,-0.65601,3.24414,3.73495
2.027,-1.48919,2.77368,0.94571
2.061,-2.02310,2.33195,-0.46687
2.101,-2.59771,1.39462,-2.49596
2.141,-3.54342,1.05824,-3.91093
2.176,-4.34787,0.65242,-5.98910
2.221,-5.88615,1.13844,-9.30626
2.262,-8.03015,0.67397,-12.05481
2.301,-9.49899,2.67672,-16.64928
2.332,-11.02051,2.55222,-17.55429
2.371,-12.84130,2.30921,-20.56978
2.411,-14.12459,2.92093,-24.05694
2.464,-14.75307,3.86185,-28.63944
2.490,-9.34337,-3.53504,-18.98722
2.530,8.87890,-14.70998,0.56503
2.571,19.78090,-35.30729,7.64349
2.608,18.81364,-16.25304,14.75786
2.641,-8.25521,22.89934,23.35903
2.681,0.92416,2.36188,13.28064
2.722,4.36583,10.06522,13.16212
2.761,-0.77093,7.37773,3.77566
2.806,1.95127,9.87488,7.59201
2.839,0.14485,6.24408,5.69221
2.877,1.54785,7.29154,5.28999
2.921,1.86628,6.70017,5.38935
2.964,1.04267,6.07170,4.61602
3.009,0.98043,8.46709,4.96079
3.041,0.79727,7.20774,5.03381
3.081,0.47166,8.68976,4.20901
3.121,0.68474,10.42914,4.15035
3.161,0.64883,11.85489,5.59645
3.201,-0.62010,7.36576,6.26682
3.241,0.43814,6.60919,4.77883
3.281,-0.30287,7.48308,4.82072
3.322,-0.21189,7.80869,4.21739
3.371,0.49201,6.89291,4.40533
3.401,-0.77333,5.88615,2.00514
3.440,-0.42377,4.89854,2.89818
3.481,-0.18196,2.11408,0.98641
3.521,-0.51834,3.13880,0.79607
3.554,-0.46088,1.08338,0.04549
3.590,-1.55264,1.78009,1.55503
3.631,1.39941,1.62686,3.77685
3.671,-1.93092,0.68833,6.78158
3.724,-2.03627,0.33279,6.22612
3.751,-0.88945,-1.89621,11.13543
