time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.42617,-1.73939,9.35534
0.017,1.05465,-1.36948,9.84975
0.049,0.57461,-1.65320,10.08797
0.085,0.99958,-1.50954,9.85334
0.120,0.96486,-1.56701,9.70370
0.154,0.73981,-1.68193,9.90721
0.189,0.88346,-1.48560,9.87848
0.225,0.78051,-1.68552,9.74440
0.262,1.02711,-1.56341,10.09276
0.294,0.80445,-1.72502,9.89763
0.330,0.83318,-1.31202,9.79228
0.365,0.57700,-1.58017,9.88326
0.400,0.84874,-1.28090,9.90481
0.434,0.67516,-1.53588,9.68095
0.470,0.88705,-1.35153,9.68574
0.506,1.06901,-1.72143,9.77074
0.540,1.03789,-1.58376,9.75398
0.575,0.82241,-1.78967,9.84975
0.614,0.67756,-1.61489,9.85214
0.645,0.81642,-1.63644,9.83778
0.682,0.73382,-1.55743,9.67257
0.714,0.87508,-1.70946,9.91439
0.750,0.88226,-1.59095,9.82940
0.785,0.86790,-1.51194,9.68814
0.822,0.85952,-1.69749,9.95749
0.854,0.72185,-1.43532,9.65222
0.890,0.97803,-1.55982,9.73363
0.927,0.89663,-1.57778,9.73842
0.966,1.30843,-1.57299,9.87728
1.000,1.54905,-1.48201,9.69053
1.034,1.84832,-1.47603,9.78271
1.070,2.56419,-1.51553,9.61511
1.106,3.17830,-1.65080,9.19134
1.141,4.33231,-2.10331,8.62511
1.174,4.47117,-1.45328,7.58722
1.210,4.29041,-1.49159,7.56089
1.250,3.88100,-1.53708,7.19218
1.279,3.25731,-1.79685,6.98508
1.317,3.38061,-1.99916,9.32302
1.349,1.10852,-2.81917,9.53012
1.387,1.30843,-2.00874,10.76672
1.420,1.46765,-2.03148,12.15895
1.455,2.03866,-1.95008,12.09192
1.491,2.69707,-2.06380,11.54963
1.526,5.12120,-1.96803,13.29261
1.560,5.65032,-0.93374,9.62828
1.594,5.10444,-0.21189,7.62314
1.630,4.82072,-0.91459,9.94432
1.666,4.46160,-0.46448,7.57406
1.700,5.19302,1.06542,8.38449
1.740,4.97635,0.73622,9.71806
1.770,6.55652,1.24618,12.10389
1.810,6.81390,1.81720,12.46421
1.842,6.37217,2.69348,12.83053
1.882,5.47075,2.45525,12.57435
1.910,6.30154,2.80241,12.81018
1.945,7.82784,3.58412,12.86883
1.980,6.69538,4.16112,12.61026
2.014,6.29076,4.14436,12.05241
2.049,5.54976,5.28161,11.20008
2.086,3.70503,5.06733,10.75475
2.120,2.27329,5.50906,9.70729
2.154,2.91494,4.43167,9.02135
2.190,1.59813,4.73813,7.25084
2.230,1.37667,4.27006,6.46075
2.260,1.43892,3.52307,4.51187
2.301,0.47645,3.64038,2.88022
2.330,-0.73023,3.15197,1.50715
2.371,-1.82199,3.07535,-0.96247
2.407,-3.13042,3.07176,-2.43131
2.441,-3.39618,2.99874,-3.85826
2.475,-4.11204,3.19985,-5.05895
2.509,-5.32111,3.24534,-6.53019
2.547,-6.24168,4.10606,-7.68180
2.586,-7.26161,4.99191,-8.64546
2.614,-8.39886,5.85382,-10.43752
2.653,-9.61272,6.78397,-12.29662
2.685,-10.75236,7.36696,-13.99650
2.721,-10.86369,8.39168,-16.38352
2.754,-11.87045,9.38048,-17.86074
2.791,-12.23437,10.08318,-19.24100
2.826,-10.26275,6.30274,-17.34120
2.860,-5.25767,-6.10162,0.33160
2.894,12.49654,-15.65209,11.31380
2.930,0.64404,-19.42895,5.76045
2.966,14.73152,2.07098,13.98693
3.021,3.60447,12.65455,10.54047
3.045,-3.89058,11.26352,4.04500
3.080,0.94451,11.11029,7.45914
3.114,-0.24900,8.07804,6.55054
3.150,-2.62045,10.88404,2.89339
3.186,-0.14006,9.47386,3.96839
3.223,0.56862,7.83024,4.73693
3.256,-1.41737,8.07205,3.14478
3.291,-0.87508,8.85735,2.84551
3.326,-0.60573,8.59758,2.88262
3.361,-1.55503,8.95431,2.59651
3.394,-1.18513,9.07043,2.46962
3.438,-1.70467,8.75679,2.68629
3.467,-1.29526,9.35295,2.33076
3.506,-1.66996,9.70370,2.69707
3.534,-1.60531,9.87967,2.77368
3.575,-2.60369,8.70891,3.00472
3.610,-1.83276,9.34457,2.74615
3.647,-2.08894,9.09078,3.57335
3.686,-2.39420,8.86214,3.96360
3.720,-1.77769,8.50899,3.63320
3.754,-1.74058,8.54610,3.63081
3.790,-2.34512,7.66743,4.13598
3.826,-2.71263,5.21816,2.46004
3.860,-1.96085,4.58609,1.13605
3.894,-1.34913,2.88621,0.19872
3.930,-1.49278,0.47525,0.14605
3.966,-0.30167,2.86347,-0.34477
4.000,0.52074,3.62602,1.76094
4.034,0.64284,3.62602,2.19668
4.072,0.55545,4.81953,5.19542
4.105,0.48004,6.93600,3.90614
4.141,-0.58059,6.91685,6.87734
4.174,2.77129,7.40287,6.00945
4.210,0.15802,3.94205,13.08910
4.246,1.45927,0.69911,10.63026
4.281,1.21147,-2.41934,13.82412
4.315,2.06021,-5.31154,12.55400
4.354,1.31921,-7.69377,16.27818
4.390,-0.68115,-10.03530,14.49450
4.430,-1.64960,-9.92756,12.70723
4.460,4.21858,-10.05684,14.21078
4.495,2.76171,-11.31859,13.82532
4.529,2.86586,-9.67976,10.56082
4.566,2.93529,-7.95833,10.14423
4.600,1.02592,-8.48505,8.51498
4.638,1.33596,-6.66905,7.38492
4.684,1.68193,-6.57448,6.94678
4.709,1.86748,-6.94558,5.88734
4.749,2.83354,-6.48589,5.15232
4.779,2.99515,-6.76362,4.93804
4.818,2.57616,-6.76003,4.59208
4.850,3.08972,-6.66187,4.23654
4.890,2.86107,-6.54934,4.13359
4.926,2.80840,-6.37097,4.14556
4.961,3.12443,-6.33027,4.01627
4.996,2.32836,-6.60321,4.13838
5.038,2.33195,-6.32428,4.04022
5.066,2.94367,-6.11479,4.10606
5.106,2.43969,-7.13712,4.46160
5.134,2.28527,-7.28675,4.27485
5.174,2.82396,-7.59321,4.19704
5.206,3.11964,-8.10677,4.67947
5.241,2.55222,-8.48026,4.70101
