time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.11971,-1.37786,10.24359
0.016,1.47842,-0.95768,9.39365
0.051,0.97324,-1.29407,9.78271
0.087,1.90698,-1.21985,9.93474
0.122,1.31681,-1.28329,9.64744
0.157,1.51673,-1.21985,9.70131
0.191,1.61369,-1.25576,9.64983
0.227,1.46525,-1.12527,9.18057
0.262,1.54067,-1.09894,9.75039
0.296,1.66277,-1.29287,9.79827
0.331,1.50595,-0.89543,9.75517
0.367,1.61369,-1.30723,9.98382
0.402,1.84832,-1.32998,9.71687
0.437,2.30801,-1.39702,9.66539
0.472,2.26372,-1.24738,9.66779
0.508,2.06380,-1.27611,9.74081
0.542,1.57419,-1.46405,9.47745
0.578,1.46765,-1.36709,9.57322
0.612,1.80762,-1.48201,9.33739
0.648,1.88543,-1.15161,9.13148
0.683,1.20548,-1.54067,9.31105
0.718,1.05704,-1.09535,9.26077
0.752,1.41018,-1.00437,10.03410
0.787,1.75016,-1.42575,9.43794
0.822,1.93571,-1.71185,9.79109
0.857,1.80523,-1.41976,10.03649
0.892,0.93613,-2.04585,9.32661
0.937,2.32836,-1.22583,9.32661
0.962,2.89100,-1.01873,9.84975
0.997,4.05458,-1.73699,9.53730
1.032,3.51708,-1.05943,9.91918
1.068,3.32435,-1.21027,9.43914
1.103,2.67672,-1.52032,8.44914
1.139,3.20105,-1.64960,8.18458
1.177,4.47237,-1.45927,9.30866
1.211,4.53941,-1.86748,8.58680
1.249,4.72256,-1.86628,8.88488
1.283,4.51068,-2.08056,8.72088
1.318,4.37899,-1.99437,8.74362
1.354,4.97036,-2.05183,8.90164
1.388,4.76446,-2.18710,8.63469
1.423,4.43167,-2.32836,7.82904
1.457,4.83988,-2.24576,8.15345
1.493,4.85664,-2.12605,8.13430
1.527,4.72496,-2.43849,8.09719
1.562,4.99909,-2.33674,8.62152
1.597,4.57532,-2.27329,8.18578
1.632,5.04698,-2.10929,8.30668
1.667,5.33069,-2.61088,8.71011
1.710,5.03979,-2.72101,8.47667
1.745,4.69024,-2.60609,8.56286
1.771,3.92051,-2.80002,8.89925
1.807,3.90973,-2.49476,9.03332
1.842,3.69306,-2.78087,10.11670
1.879,4.24133,-2.56299,9.53970
1.912,4.20781,-1.96444,9.59237
1.947,4.50708,-1.64841,9.79109
1.983,4.61961,-1.48441,10.75595
2.018,4.71418,-1.59933,11.50055
2.051,5.07571,-0.43455,11.67054
2.087,4.35146,0.00479,11.72321
2.123,4.44244,0.05507,12.42591
2.157,4.44723,0.66439,11.61427
2.191,4.07493,1.00676,9.92516
2.235,3.56856,1.95606,11.40358
2.263,3.40695,2.04944,11.74117
2.297,2.43251,3.41892,11.04924
2.332,2.48159,3.43688,11.03128
2.367,3.20703,2.94607,11.23120
2.402,2.64320,2.93769,11.12226
2.437,2.23499,4.01388,9.76595
2.471,1.33477,4.53941,9.28232
2.507,1.39103,5.31872,8.20852
2.542,0.33519,5.56652,7.27718
2.577,0.18914,5.88255,6.99346
2.611,-0.30526,6.14232,6.05374
2.648,-0.67038,6.04536,4.42329
2.684,-1.16238,6.00346,3.81755
2.722,-1.53947,6.10162,3.32794
2.752,-1.83037,6.11599,2.05183
2.789,-2.91733,6.40928,0.53750
2.823,-3.36146,6.69179,-0.19034
2.857,-3.37223,7.02698,-0.14485
2.891,-4.11563,7.27718,-1.14563
2.928,-4.08451,7.52498,-1.90698
2.963,-3.99592,7.71412,-1.52511
2.997,-4.40174,8.03255,-2.17154
3.032,-4.36702,7.79791,-2.20267
3.067,-3.93726,7.99544,-1.77769
3.103,-4.29879,7.91762,-1.85311
3.137,-4.58968,7.62553,-2.14999
3.172,-4.44484,7.26880,-2.85628
3.214,-4.95121,6.81509,-2.81319
3.242,-4.71418,6.23929,-3.58532
3.282,-4.64715,5.49828,-4.31076
3.311,-4.60405,5.20140,-5.10564
3.348,-5.01106,4.46160,-5.48871
3.384,-4.82551,3.67510,-6.08965
3.422,-5.54737,3.59250,-6.54814
3.458,-6.35421,3.37223,-8.05290
3.492,-6.49427,3.09451,-9.18775
3.527,-6.69898,3.23696,-11.06720
3.569,-7.55012,3.16633,-12.73476
3.597,-8.90643,2.43251,-15.19600
3.639,-9.82580,2.96761,-17.61055
3.667,-11.38204,3.63560,-21.11327
3.715,-15.12776,4.10486,-29.00456
3.742,-12.66892,2.94128,-27.10596
3.772,-5.88854,-6.49906,-17.59978
3.807,3.38540,-11.25873,0.98761
3.844,9.57441,-23.03701,23.28241
3.877,3.55539,-30.96301,11.62864
3.912,8.64307,12.79940,22.37142
3.952,-0.25379,6.63074,15.46056
3.997,0.31484,1.23661,9.42717
4.022,0.99958,10.75356,7.69616
4.068,-0.80325,6.90009,5.25886
4.099,-0.32441,8.55807,5.37019
4.128,-0.65003,7.85538,6.19380
4.163,0.63207,7.03536,6.41287
4.200,0.53510,6.01064,5.73292
4.231,0.08140,6.69778,6.50145
4.267,0.77572,6.76242,6.33386
4.304,-0.03711,5.29597,6.71574
4.347,-0.21668,4.91290,6.82228
4.377,-0.21548,5.78080,5.94361
4.416,0.58059,5.53061,1.04866
4.446,2.38822,5.55455,4.36104
4.483,-0.73741,4.12760,3.98635
4.517,-2.55701,3.57335,1.37547
4.554,-3.29442,3.92290,1.73699
4.587,-5.17387,4.06775,0.13886
4.623,-4.22696,2.72700,1.72981
4.657,-4.24372,2.77249,6.03459
4.692,-4.60644,1.38505,6.17943
4.727,-3.63799,-1.10612,5.32111
4.783,-2.85868,-2.46483,9.67617
4.812,0.39385,-4.10366,10.98460
4.837,3.36026,-5.76165,14.83926
4.867,2.88382,-6.16866,13.76187
4.906,5.06015,-4.81235,15.20677
4.937,4.91290,-5.67067,16.50563
4.972,3.57574,-3.16394,14.89912
5.007,4.60405,-1.75734,14.55675
5.044,0.21548,-5.63715,13.20642
5.077,2.41216,-1.91656,10.90679
