time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.83156,-1.42575,9.11712
0.006,2.52708,-1.74777,10.00297
0.040,1.84713,-1.54306,9.53611
0.076,2.34273,-1.53229,9.49899
0.110,2.52469,-1.58017,9.42238
0.145,2.34751,-1.65439,9.43555
0.180,2.30083,-1.53468,9.43435
0.216,2.52109,-1.42216,9.58758
0.250,2.26611,-1.42335,9.40442
0.285,2.33914,-1.46046,9.63427
0.320,2.33554,-1.43772,9.57202
0.357,2.51870,-1.55144,9.81503
0.392,2.24217,-1.46525,9.59237
0.425,2.38103,-1.50954,9.54089
0.460,2.62524,-1.42694,9.95868
0.496,2.32597,-1.80403,9.68335
0.530,2.47441,-1.33596,9.54927
0.565,2.80840,-1.50356,9.51815
0.600,2.66834,-1.23780,9.40083
0.637,2.66714,-1.14084,9.42238
0.670,3.38301,-1.43173,9.20451
0.705,3.02029,-1.23541,9.20571
0.741,3.62362,-1.97881,9.31584
0.776,3.23217,-1.20668,8.82503
0.810,3.34231,-1.30723,9.28831
0.846,3.51948,-1.42814,8.63349
0.880,3.76488,-1.42814,9.17338
0.917,2.90177,-1.05105,9.49301
0.950,3.21900,-1.02951,9.39724
0.986,3.56616,-0.82241,7.84340
1.020,3.10169,-1.20668,7.10958
1.057,3.73136,-1.06781,7.34182
1.090,2.33794,-1.60890,7.55251
1.126,1.70108,-1.67235,8.65025
1.160,1.90219,-2.19788,8.89326
1.196,3.39378,-2.20745,8.96509
1.231,6.98269,-3.02986,10.91277
1.265,8.17500,-2.77967,9.89524
1.311,4.45561,-2.13683,6.95396
1.346,4.58968,-2.02789,7.82904
1.380,4.79559,-2.50433,7.34781
1.417,6.34583,-2.38822,7.94276
1.453,6.27520,-2.66116,7.92960
1.486,6.58046,-2.51271,8.78433
1.520,5.78439,-1.77650,8.93396
1.557,6.71095,-1.81121,9.29669
1.596,6.59124,-1.94888,9.32781
1.626,6.06571,-1.86029,9.93115
1.662,7.08325,-1.98599,10.71525
1.697,6.08247,-0.92057,11.51372
1.732,5.77601,-0.72784,13.08072
1.766,6.98867,0.52912,13.42429
1.801,7.80510,1.19590,13.84447
1.837,7.79791,1.42575,14.25029
1.870,7.43280,2.06380,13.57752
1.906,6.59243,1.92135,12.37563
1.940,6.90129,2.87663,11.05523
1.977,5.34745,3.25252,10.87087
2.018,4.13239,3.46800,10.35373
2.050,3.99832,3.15556,9.70729
2.086,2.13323,3.94205,8.00262
2.120,0.91578,4.00670,6.54814
2.158,1.30723,3.80080,5.63834
2.191,0.16999,3.78404,4.45561
2.226,-0.51356,3.97318,2.57736
2.260,-1.69988,4.43167,1.01514
2.300,-2.76889,4.33111,-0.59855
2.338,-3.17950,4.42089,-2.45645
2.370,-4.67947,4.00191,-3.13521
2.406,-4.59328,4.05458,-4.03543
2.445,-4.91051,3.79361,-4.82312
2.477,-5.58208,4.26288,-4.99191
2.510,-6.26443,3.64876,-6.05853
2.546,-7.07606,4.70461,-6.82228
2.580,-8.91242,5.64792,-8.84897
2.617,-9.65462,6.12197,-9.98741
2.655,-10.73560,6.46315,-11.60230
2.690,-11.84412,6.57328,-12.83053
2.726,-12.08234,6.89410,-16.43500
2.760,-13.00051,8.89566,-19.22065
2.797,-10.90679,7.01142,-19.97363
2.831,-7.63631,-4.49631,-5.01944
2.872,7.58363,-16.69238,8.39168
2.900,0.35314,-22.06975,0.41180
2.937,25.31629,-0.66798,14.21438
2.970,3.90853,15.88673,12.80539
3.006,-10.05325,16.26621,5.35583
3.040,-0.22505,9.91918,5.49948
3.078,-3.56736,8.60237,7.76799
3.113,0.36152,9.84735,7.77397
3.146,0.88585,8.51857,6.80672
3.180,1.56222,8.59878,5.61680
3.217,0.26456,7.15387,6.18542
3.256,-0.01915,7.91762,5.67186
3.290,-0.71826,8.39886,5.41688
3.326,0.66200,7.74644,6.07768
3.360,0.11013,7.94636,6.13275
