time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.49081,-1.24858,9.86172
0.018,1.83276,-1.20787,9.67736
0.052,1.49997,-1.07380,9.61631
0.087,1.59574,-1.30364,9.71208
0.124,1.71784,-1.14802,9.61272
0.156,1.66397,-1.26294,9.67138
0.192,1.71664,-1.30843,9.54449
0.226,1.82678,-1.08577,9.56005
0.263,1.71904,-1.28209,9.71926
0.304,1.66277,-0.89423,9.50737
0.336,1.80283,-1.19231,9.76715
0.372,1.99437,-1.28449,9.79468
0.407,1.73699,-1.35272,9.80306
0.443,2.00275,-1.58257,9.81383
0.477,2.17633,-1.60292,9.89404
0.513,2.06500,-1.71545,9.76834
0.547,2.21703,-2.16196,9.31704
0.583,2.52828,-2.14281,9.28232
0.617,2.57616,-1.94170,8.67300
0.652,3.24773,-2.22182,8.40006
0.687,3.65235,-1.80643,7.94875
0.724,3.30280,-1.69509,7.57047
0.758,3.68228,-1.14563,8.31746
0.792,3.81396,-1.44131,8.50420
0.832,4.21858,-1.15401,8.86214
0.863,3.96839,-1.45567,8.86693
0.900,3.83312,-1.68193,8.52575
0.933,4.31315,-1.92614,9.13148
0.967,4.25809,-1.58975,9.36492
1.007,3.66672,-1.64123,8.21690
1.037,4.23415,-2.14281,9.76834
1.073,4.27006,-2.06260,8.78911
1.108,4.73932,-2.54264,8.90284
1.144,5.80115,-2.88860,9.25239
1.177,5.20739,-2.57975,8.41083
1.212,5.22535,-2.61207,7.92122
1.247,5.63236,-2.84910,8.63110
1.284,5.15232,-2.77847,8.05290
1.317,4.86981,-2.43251,8.78672
1.358,6.15908,-2.83473,8.61793
1.393,5.15711,-2.32956,10.34056
1.427,5.27083,-1.51433,11.01812
1.463,5.11880,-1.42216,12.03805
1.497,3.74214,-0.99599,10.22803
1.532,6.32069,0.03950,14.14734
1.568,5.24809,0.08739,13.83968
1.603,4.70580,-0.19034,13.61104
1.637,6.18781,1.06063,14.18804
1.688,5.59884,0.95648,14.26585
1.713,5.89093,1.20787,13.57034
1.753,6.16148,2.05183,13.07474
1.787,5.00388,2.37744,11.13543
1.836,4.34548,2.40019,10.34774
1.863,4.16711,3.17711,9.05008
1.891,2.77608,3.92410,9.52892
1.927,2.15478,4.11084,8.16902
1.971,1.80403,4.09528,6.86418
2.003,1.18513,3.70144,5.23373
2.037,0.58658,2.39420,3.40815
2.072,-0.59256,2.04704,1.36948
2.118,-1.78129,2.11528,-0.99120
2.152,-3.17950,1.98599,-3.34829
2.187,-4.29280,2.61926,-5.45399
2.224,-5.96515,2.55940,-8.97945
2.257,-7.51899,3.28604,-12.37802
2.292,-9.95749,3.30879,-16.85279
2.327,-10.83735,4.47835,-18.70590
2.363,-12.88320,5.20021,-20.74815
2.400,-13.10466,6.33266,-23.51824
2.432,-12.32296,7.03895,-23.75407
2.467,-7.28915,0.26456,-13.29141
2.503,0.91219,-12.36964,15.37317
2.537,-3.81037,-19.90180,8.32224
2.573,18.52633,-19.72343,13.27465
2.607,6.80791,12.95143,13.34049
2.646,1.63285,13.79539,6.00825
2.677,0.26695,7.78116,7.22929
2.712,2.59053,10.81221,4.81713
2.747,1.02352,8.59040,6.92164
2.783,-0.03112,10.59554,3.56736
2.817,-0.06345,8.77834,5.19063
2.853,0.85473,8.58800,4.14915
2.890,0.53989,7.66863,4.98712
2.925,-0.67277,7.92361,3.57454
2.958,-0.03711,8.68138,3.12683
2.992,-0.43096,8.64786,4.43406
3.028,-1.22942,9.68814,2.97599
3.064,-1.30245,9.26676,3.17232
3.098,-1.03789,9.57920,3.47878
3.133,-0.79607,9.95030,3.30998
3.168,-0.93374,9.68574,2.90896
3.203,-0.52672,10.16578,3.69784
3.237,-0.78889,9.26317,3.89297
3.272,-0.94810,9.03931,4.23534
3.308,-0.60094,9.01656,3.68468
3.343,-1.07500,9.37809,3.51469
3.377,-1.02711,9.26436,3.47878
3.412,-0.36631,9.39126,3.68228
3.454,-0.72664,8.98783,3.92888
3.487,-0.84515,9.00818,3.39977
3.524,-0.72784,8.55927,2.90536
3.557,-0.94810,7.39569,1.84713
3.597,-1.37786,5.39533,0.32801
3.632,-1.15401,6.13873,-1.15520
3.667,-1.13365,4.39097,-1.53947
3.730,-1.64960,5.37618,0.05986
3.737,-1.49278,3.59729,-0.89304
3.779,-2.43849,3.75770,-0.04310
3.810,-0.97205,4.72855,0.86790
3.851,-2.58813,2.84790,5.67665
3.883,-1.98958,5.54617,4.50708
3.917,-4.31435,4.16711,9.24641
3.952,-5.37857,2.82516,11.72800
3.996,-4.25450,1.68672,15.85800
4.023,-2.97480,-0.17358,16.35719
4.063,-0.43335,-0.81044,16.96292
4.092,0.02514,-0.04908,16.51640
4.130,-1.29526,-0.31005,14.96735
4.163,-0.30526,1.52391,13.42908
4.198,-0.67516,0.24181,13.76786
4.233,-1.61489,-0.39624,12.22719
4.273,-0.52553,2.35829,12.23198
4.303,-1.08936,-0.60334,12.47020
4.346,-0.94451,0.67636,10.99058
4.372,0.43934,2.73178,11.05403
4.408,-0.64165,-0.48961,10.68412
4.445,1.06781,2.34751,9.79707
4.487,0.76854,1.28928,10.22564
4.512,0.49081,1.64482,9.76595
4.554,1.14682,3.07535,9.90840
4.583,0.16281,1.89501,9.63307
4.628,0.87867,2.59172,9.64983
4.664,0.65242,2.28407,9.50977
4.720,0.40941,1.41856,9.49660
4.732,0.61172,0.96606,9.93474
4.767,1.03310,0.77812,10.25796
4.804,1.00197,0.90980,9.63068
4.837,1.52152,0.72425,10.53329
4.872,0.88945,0.80565,10.18733
4.926,0.92656,1.18393,9.92277
4.944,0.70629,1.07141,9.98023
4.982,0.47884,1.15281,10.08558
5.013,0.79368,1.32280,9.70969
5.047,0.52074,1.13365,9.82700
5.084,0.49680,1.11091,9.79947
5.120,0.79966,1.08936,9.72405
5.152,1.23182,1.36709,9.92037
5.194,0.36152,1.73340,9.24880
5.226,1.14563,1.14443,9.66060
5.262,1.46405,1.09774,10.68772
