time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.74537,-3.00712,8.85136
0.016,3.58292,-2.41455,8.99382
0.052,2.48279,-2.72460,9.13867
0.087,2.91135,-2.66834,9.25598
0.122,2.82636,-2.65637,9.05727
0.157,2.86706,-2.74495,9.20810
0.193,2.65756,-2.68629,8.99741
0.228,2.91255,-2.62883,9.07522
0.262,2.85748,-2.74016,9.14226
0.297,2.79762,-2.69467,8.97586
0.334,3.09810,-2.94966,8.94234
0.367,3.50990,-3.26569,8.91122
0.402,3.58651,-3.77685,7.48906
0.438,4.13000,-4.31555,6.66187
0.474,5.13317,-3.27646,5.99508
0.508,6.45477,-2.06141,6.78397
0.543,5.56532,-2.96402,6.63314
0.578,5.96755,-1.58855,7.88770
0.614,6.63792,-2.38343,8.16543
0.650,6.10881,-1.54067,7.87932
0.688,5.91966,-1.74896,9.39964
0.722,4.97156,-1.92374,8.33900
0.758,5.29358,-1.48321,8.89446
0.794,4.51187,-1.56820,9.12071
0.827,4.46160,-1.13605,8.57004
0.863,4.42568,-0.93613,9.10994
0.903,5.31393,-1.81002,8.82263
0.933,5.32830,-1.08577,9.26795
0.968,5.81911,-0.91818,9.89763
1.003,4.74411,-0.67876,10.54287
1.038,6.71214,0.09816,14.29578
1.073,7.38372,-0.40462,15.95017
1.108,7.66504,0.33639,15.67484
1.142,8.77714,0.54468,15.65568
1.178,8.74961,0.04788,15.24508
1.213,8.51019,0.85593,13.32493
1.248,7.49146,1.92015,12.88081
1.282,7.00783,2.67313,12.48456
1.318,6.53138,2.66714,11.33176
1.354,5.77601,2.48997,10.50336
1.393,4.76566,2.48758,9.26436
1.423,3.31477,2.50433,6.83305
1.458,1.72143,1.72981,4.62679
1.493,1.19830,1.35392,3.50631
1.528,-0.17597,1.17196,2.22302
1.562,-1.25576,1.78727,0.70509
1.598,-3.20584,2.42892,-1.42934
1.633,-4.71777,2.95085,-2.88980
1.668,-5.78080,3.82833,-5.06254
1.702,-6.78158,4.51068,-7.09402
1.738,-9.21887,5.84065,-9.76595
1.773,-10.64821,8.46709,-13.61822
1.808,-11.12586,9.97784,-16.81687
1.843,-10.92115,10.51773,-17.66562
1.883,-11.06001,9.42118,-15.60062
1.914,-9.57920,7.99663,-13.01608
1.952,-5.39294,-0.06225,-0.99359
1.982,9.04051,-4.60644,12.40316
2.018,6.89889,-15.70836,2.41695
2.053,8.39766,-10.48301,9.81862
2.088,10.34295,16.30451,10.53090
2.122,-4.39815,9.67377,3.20823
2.157,-3.42251,13.61582,3.06099
2.193,0.59616,10.64462,6.77559
2.228,-0.80685,7.48667,5.93523
2.262,-2.49117,10.64103,2.62165
2.298,-2.07218,9.53491,3.12563
2.333,-0.66200,7.99783,4.92008
2.374,-1.59574,7.86136,3.23816
2.403,-2.58095,9.39006,2.57736
2.438,-0.87508,9.91319,3.59370
2.475,-1.08098,8.70651,3.93966
2.514,-2.14161,8.91720,3.39857
2.547,-0.78530,9.42717,3.01430
2.583,-1.33357,8.09120,4.71299
2.618,-1.08338,9.20571,3.83312
2.653,-0.80325,8.57004,4.55257
2.688,-0.51236,8.90044,4.45920
2.736,-0.75657,8.83460,4.45202
2.758,-0.89902,8.71729,3.30520
2.795,-1.12288,7.82066,3.92769
2.827,-1.39223,7.09282,2.63602
2.863,-1.26055,7.17183,2.19069
2.898,-1.23301,3.25372,2.25414
2.941,-0.70270,2.78924,1.08098
2.969,-1.27012,4.53821,0.79966
3.002,-2.30442,1.17196,-2.24576
3.038,-1.99437,2.16795,-1.98240
3.073,-0.41539,0.45849,-2.06021
3.108,-0.41420,1.36589,-0.49081
3.143,1.70108,0.59376,1.24379
3.178,0.67516,-3.63320,4.07373
3.232,9.17817,-3.29562,8.06966
3.248,8.35816,-10.77510,14.48013
3.286,7.88889,-14.36880,14.40352
3.318,6.27161,-15.20797,16.62055
3.355,2.61447,-17.45972,16.95095
3.388,1.57060,-20.10890,15.52400
3.423,0.45849,-15.68681,13.30219
3.469,-0.42377,-14.57351,10.67096
3.507,-1.09295,-12.37323,9.14106
3.538,-0.42617,-9.44513,7.57047
3.574,0.12689,-9.80785,6.49188
3.608,-0.06943,-9.31584,4.17668
3.646,0.18914,-8.74003,4.02824
3.678,1.04746,-9.27155,3.45842
3.715,1.24618,-9.26556,3.38420
3.748,0.69312,-10.07959,3.07296
3.785,0.13048,-9.76834,2.40378
3.817,-0.83438,-9.97424,1.73699
3.853,0.17238,-9.77672,1.80643
3.889,-0.16759,-9.36372,1.50356
3.930,-0.96007,-9.35175,0.95529
3.958,-0.45610,-9.35534,1.58137
4.008,-0.11013,-9.56843,1.49877
4.033,-0.93015,-9.62349,1.42455
4.069,-0.68594,-9.55167,1.46525
4.102,-0.56623,-9.75517,2.11887
4.138,-0.44891,-9.33260,2.09373
4.173,-0.91459,-9.71088,2.47920
4.214,-0.62608,-9.39485,2.23738
4.248,-0.44293,-9.72884,2.69228
4.284,0.08739,-9.77912,2.70066
4.318,0.30406,-9.63187,2.62764
4.354,-0.27174,-9.40203,2.82755
4.388,-0.40582,-9.53251,3.20224
4.422,0.16161,-9.53491,3.46800
4.460,0.44532,-10.01734,4.16591
4.499,0.64643,-9.89643,4.42209
4.528,1.45448,-10.37767,4.93804
4.566,-0.18316,-10.29387,5.28161
4.600,0.47884,-10.56561,5.08409
4.638,1.37427,-11.35690,6.90967
4.673,0.70868,-11.42154,6.06930
4.708,0.87149,-10.80862,5.32949
4.742,0.12929,-9.96586,5.83826
4.780,-0.28491,-9.12909,5.16669
4.814,-0.08739,-7.86136,5.58088
4.848,-0.15802,-7.48068,6.58765
4.882,-0.50877,-7.24126,6.54216
4.923,-0.41899,-5.47075,6.85939
4.958,-0.48004,-5.52821,7.59920
4.993,-0.87388,-4.88537,7.14190
5.029,-0.59017,-3.24055,7.15747
5.063,-1.00556,-2.95444,7.48787
5.098,-0.95050,-2.39779,7.61117
5.133,-0.99359,-1.61369,8.35935
5.167,-1.74777,-1.96325,8.11395
5.202,-1.31561,-1.71425,8.56406
5.237,-0.83438,-2.43730,9.19972
5.273,-0.68474,-2.08894,9.25479
5.312,-0.54109,-2.00993,9.62230
5.342,-0.62608,-2.10570,9.71088
5.377,-0.34596,-1.93930,9.60075
5.413,-0.33040,-1.85551,9.66420
5.447,-0.37350,-2.18471,9.73482
5.482,-0.35075,-1.95965,9.73722
5.517,-0.25618,-1.99078,9.95988
5.553,-0.54708,-2.26372,9.78750
5.587,-0.48123,-1.77769,9.67976
5.622,-0.37948,-1.87945,9.76715
5.657,-0.46208,-1.76932,9.53251
5.693,-0.32681,-1.73460,9.72884
5.727,-0.22266,-1.77291,9.90481
5.762,-0.17238,-1.85790,9.69412
5.803,-0.20590,-1.57299,9.80665
5.832,-0.14844,-1.90578,9.76116
5.871,0.05986,-1.39702,9.67138
5.902,0.15203,-1.68432,9.68455
5.937,0.01556,-1.53827,9.68215
5.973,0.32082,-1.62327,9.75996
6.007,0.45729,-1.69869,9.82940
6.042,0.38068,-1.77769,9.75158
6.077,0.31244,-1.60771,9.72405
6.113,0.41061,-1.85790,9.71687
6.147,0.47525,-1.56820,9.82580
6.182,0.21308,-1.98240,9.91199
6.217,-0.01676,-1.81002,9.93115
6.254,0.13886,-1.95008,9.88326
6.293,0.43455,-1.87825,10.07001
6.322,0.19752,-1.84114,9.78031
6.357,0.39624,-1.83276,9.67138
6.393,0.47405,-1.81361,9.54209
6.427,0.50877,-1.75256,9.70969
6.462,0.33758,-1.79086,9.48702
6.497,0.34836,-1.78009,9.49181
6.533,0.59975,-1.70946,9.64025
6.567,0.63925,-1.98000,9.67497
6.602,0.45370,-1.83516,9.61392
6.637,0.56264,-2.17992,9.95868
6.673,0.39145,-2.20147,9.82221
6.707,0.43335,-2.12007,9.88207
6.742,0.37110,-1.98120,9.91798
6.783,0.06584,-2.14640,9.89284
6.813,0.16999,-1.87945,9.88087
6.847,0.42377,-2.03747,9.96227
6.882,0.48602,-1.96923,9.92037
6.917,0.32920,-2.10331,9.76834
6.953,0.53870,-2.09134,9.91678
6.987,0.32681,-1.96205,9.63786
7.022,0.48123,-2.06859,9.62469
7.057,0.77213,-2.02310,9.71447
7.093,0.78051,-1.91297,9.61033
7.127,0.66319,-2.19548,9.71806
7.162,0.66080,-1.92254,9.71687
7.197,-0.70030,-2.37026,9.69293
7.232,2.62644,-2.00036,10.78947
7.270,-0.46687,-2.21583,9.57202
