time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.17436,-0.55905,10.12268
0.017,1.99317,-0.66918,9.70729
0.052,2.24217,-0.50996,9.92636
0.088,2.07338,-0.65362,9.83059
0.122,1.78009,-0.47525,9.51575
0.157,1.93451,-0.59735,9.64863
0.192,2.20147,-0.55186,9.56244
0.228,2.19668,-0.31603,9.53850
0.262,1.98479,-0.25857,9.44273
0.297,2.12007,-0.33758,9.60075
0.332,2.29245,-0.66439,10.33218
0.368,2.31998,-0.61651,9.49899
0.402,1.96205,-0.56024,9.21768
0.437,2.67313,-0.85593,10.08558
0.480,2.65278,-0.86550,9.53730
0.508,2.40258,-0.42497,9.19254
0.542,2.74016,-1.30723,9.30028
0.580,3.12922,-0.63925,8.88129
0.613,3.16633,-0.10175,8.68616
0.650,2.85987,-0.11133,8.40365
0.682,3.77566,-0.36631,9.36731
0.717,3.68946,-0.28252,8.71011
0.752,3.08852,-0.42497,8.68377
0.789,3.47518,-0.11253,9.23444
0.821,3.45124,0.20710,8.77714
0.857,3.42969,-0.06225,9.25957
0.893,3.34470,-0.08978,9.54209
0.929,4.04740,-0.41899,9.12071
0.966,4.35146,-0.65122,9.23084
0.997,4.51786,-0.43096,9.17099
1.032,3.54222,-0.59855,10.42914
1.069,4.42808,-0.09457,9.17219
1.109,5.22056,0.10415,10.19331
1.150,4.96079,0.67876,10.05565
1.188,4.57532,0.22505,10.91517
1.217,4.08690,0.57461,11.39041
1.258,4.18746,0.67397,12.18649
1.292,4.66869,0.76495,12.82694
1.329,3.99473,1.14443,13.47217
1.362,3.89896,2.61088,13.38119
1.398,4.03303,1.75375,13.91989
1.432,4.33111,2.24097,14.27902
1.470,4.38857,3.15795,13.80377
1.502,3.39737,2.87065,12.71441
1.553,3.12084,3.63200,11.45865
1.575,3.36984,4.00430,10.87686
1.610,3.06099,4.08092,9.49062
1.642,2.22062,4.51906,8.33062
1.682,1.02951,4.47596,7.55969
1.717,1.02592,4.39336,5.92445
1.752,0.15682,4.29520,4.10965
1.789,-1.06781,3.81396,3.10887
1.822,-1.56581,3.85826,1.36589
1.858,-2.30681,4.11324,-0.12809
1.893,-3.53624,4.29520,-1.00676
1.928,-3.52187,4.56574,-2.10450
1.962,-4.32273,4.80277,-3.38660
1.998,-5.14753,4.92487,-4.68306
2.038,-5.21577,5.55455,-5.33428
2.069,-5.74968,5.99508,-6.26802
2.102,-7.22331,6.65947,-7.77637
2.138,-8.33900,8.25760,-11.21803
2.173,-10.15261,10.04368,-13.41830
2.209,-10.92833,10.37048,-15.80652
2.242,-10.84095,11.10431,-16.20635
2.277,-10.92833,12.84489,-17.57105
2.312,-7.72609,3.96360,-8.89087
2.349,2.46842,-4.53582,20.92173
2.398,4.08092,-15.91067,12.14339
2.438,8.72686,-2.93888,16.52358
2.468,0.07661,20.69548,2.28886
2.502,-6.26682,9.70729,2.61686
2.542,3.50272,8.21570,10.78468
2.578,-4.40413,7.62793,3.94086
2.612,0.34237,11.77828,1.96684
2.648,-2.94247,9.20810,1.59095
2.682,-0.24421,10.54646,2.18351
2.726,-0.05267,8.37851,2.94726
2.752,-1.83755,8.98185,1.95367
2.792,-2.33076,9.58638,1.42814
2.822,-1.24858,8.02297,4.20422
2.860,-1.77051,9.51815,3.11725
2.892,-1.94649,9.13747,3.27646
2.932,-2.56778,8.96389,2.59292
2.962,-1.15760,8.65265,4.19704
2.998,-2.09971,8.08043,4.06296
3.032,-2.41934,8.65983,3.09211
3.069,-1.23421,8.86453,4.09887
3.102,-1.65559,9.13388,4.07972
3.138,-1.83994,9.27514,3.95762
3.172,-1.64841,9.48343,4.01508
3.215,-1.38145,9.86651,3.77925
3.242,-1.63883,9.36372,4.96198
3.283,-1.96803,8.89566,3.82474
3.317,-1.64841,8.83700,4.04261
3.354,-1.97282,8.71011,3.79002
3.389,-1.98719,8.81066,3.25372
3.422,-1.41856,8.93157,3.68587
3.458,-2.11767,8.95551,3.67510
3.492,-2.49356,8.12831,2.92332
3.528,-2.48638,7.88411,2.01592
3.570,-2.46722,7.37654,2.62883
3.597,-2.66355,4.43406,1.43173
3.638,-2.47920,2.65637,-0.88585
3.668,-2.17753,2.86586,-0.23822
3.706,-1.37667,1.90339,-0.54588
3.738,-0.06345,3.06697,0.81523
3.778,0.36512,3.45483,4.41850
3.812,-1.07500,3.14000,3.79601
3.854,-1.38505,6.78038,4.83988
3.888,-2.83354,3.30160,5.71137
3.922,0.13048,2.90896,8.89087
3.958,-0.80445,-0.78290,13.22916
4.003,0.40223,-1.78368,12.72159
4.028,1.09894,-2.99275,17.53034
4.062,0.44053,-5.64792,15.43183
4.098,0.41420,-7.38252,15.37556
4.138,1.65200,-6.53019,15.66047
4.172,0.51834,-7.88770,14.76983
4.209,-0.40223,-6.60919,12.09910
4.249,0.61890,-7.42083,12.09910
4.282,-0.30047,-7.90326,10.84693
4.318,0.64643,-6.71813,9.41999
4.352,1.56701,-7.05332,9.23084
4.389,1.27731,-7.48188,8.39527
4.437,1.65918,-6.65588,7.29034
4.457,1.94170,-7.55012,7.19817
4.492,2.36787,-7.55969,7.01022
4.528,3.02148,-7.78594,7.29154
4.570,3.05021,-8.13550,6.94318
4.602,2.79523,-7.44956,6.81988
4.638,2.65158,-7.18380,6.69898
4.686,1.87466,-6.67623,6.49547
4.712,2.20147,-6.60081,5.90171
4.754,2.06979,-6.63673,6.17105
4.788,1.95846,-7.16585,6.01184
4.824,1.99796,-7.07247,5.59884
4.857,2.50673,-7.21972,6.00945
4.892,2.06500,-6.95994,5.80354
4.928,1.51314,-6.29914,4.76326
4.970,2.43849,-6.07050,5.94241
5.002,1.71904,-6.09205,6.10043
5.038,1.90100,-5.34027,4.98952
5.072,2.49955,-6.35661,7.79313
5.111,1.68073,-6.39012,7.74524
5.142,2.26611,-8.20732,8.80228
5.181,2.95444,-9.59716,9.42238
5.218,3.07894,-8.91481,9.95629
5.258,3.23816,-8.92798,9.49540
5.291,3.24295,-8.20613,9.82221
5.329,2.81079,-7.28556,8.74003
5.362,2.08296,-5.65750,8.24802
5.410,2.10211,-5.26006,8.03494
5.432,2.11049,-3.94684,7.75602
5.468,2.17753,-3.91213,7.92960
5.502,1.91297,-3.63200,7.47470
5.539,1.85192,-3.44166,8.26000
5.572,1.51194,-3.61644,7.80031
5.609,1.96205,-2.65158,8.67419
5.642,1.86269,-2.96282,8.97227
5.680,1.42694,-2.30562,8.56167
5.712,1.47124,-1.95487,9.05367
5.749,1.79924,-2.23978,9.75517
5.782,1.44370,-2.05782,9.05966
5.818,1.62925,-1.97402,9.78391
5.852,2.03627,-1.99317,10.13466
5.889,1.68791,-2.07338,9.88566
5.922,1.69390,-2.00993,10.38246
5.963,1.64721,-2.17513,10.26035
5.992,1.18633,-1.77171,9.74799
6.029,1.51074,-1.78607,9.97903
6.062,1.41497,-1.79086,9.75637
6.099,1.33477,-1.47603,9.40083
6.132,-0.07063,-1.68073,4.82192
6.168,4.90452,-1.71784,11.45865
6.201,0.73622,-1.43532,7.56209
