time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.59334,-0.07302,9.78151
0.018,2.71622,0.33998,9.46667
0.052,2.07098,0.02753,9.53012
0.087,2.56419,0.21308,9.69891
0.123,2.35829,0.08260,9.62469
0.158,2.30921,0.15323,9.62110
0.193,2.33195,0.21069,9.66060
0.227,2.35709,0.33639,9.61511
0.263,2.42533,0.12689,9.65462
0.298,2.33435,0.17957,9.43914
0.333,2.43251,0.17478,9.64504
0.367,2.43490,0.18435,9.66659
0.403,2.41575,0.19632,9.55526
0.438,2.34632,0.17119,9.65821
0.473,2.36427,0.13647,9.64265
0.513,2.29843,0.06464,9.64145
0.548,2.36427,0.14724,9.69652
0.582,2.35230,0.13767,9.65342
0.619,2.46962,0.10295,9.58279
0.653,2.68749,-0.01796,9.70609
0.687,2.70305,-0.13527,9.48104
0.723,2.61327,-0.03950,9.04410
0.762,3.05620,-0.18914,8.63349
0.792,3.55419,-0.57341,8.48385
0.827,3.54342,-0.37948,8.40724
0.863,3.10169,-0.24181,8.19416
0.899,3.74932,0.01556,9.00818
0.933,3.49553,0.02873,8.45752
0.967,3.71101,-0.43694,9.42238
1.004,3.36744,-0.15083,8.73165
1.039,3.49075,-0.28012,8.56167
1.073,3.66073,-0.74939,9.06205
1.107,4.30956,-0.98641,9.55287
1.143,4.47716,-1.06542,9.17338
1.185,5.22535,-2.19189,9.67497
1.213,4.96318,-1.79086,8.42041
1.253,4.99191,-1.73220,8.33541
1.283,5.14993,-1.80044,7.96072
1.320,5.04817,-1.15401,7.94276
1.360,5.16310,-0.84635,7.84700
1.404,5.55694,-1.38744,8.59159
1.433,5.17986,-1.79685,9.61511
1.478,4.75129,-1.73699,10.42435
1.507,5.37857,-0.55905,10.42675
1.544,5.19661,-0.49081,11.98777
1.579,5.01226,-0.43096,12.39598
1.614,4.68426,-0.15921,13.38838
1.647,4.40533,0.48961,13.76546
1.683,5.10803,-0.25139,13.80497
1.719,5.53539,0.13408,13.76307
1.760,5.64433,0.33758,13.91630
1.788,5.83347,0.86790,13.59667
1.827,5.76165,1.55623,13.05079
1.859,5.34745,1.76572,12.10149
1.895,5.02902,2.31280,11.03128
1.927,4.44244,3.55300,9.14944
1.967,3.66911,3.84150,9.70490
1.999,3.02986,4.31914,8.47308
2.033,2.71622,4.26527,8.31865
2.067,1.25696,4.55257,6.01184
2.103,0.16041,4.30717,4.89255
2.138,-0.01676,3.66073,3.20584
2.173,-0.85473,3.58771,1.69031
2.207,-1.59813,3.26449,0.27773
2.243,-1.78009,3.05620,-1.37427
