time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.48680,-0.52672,9.82461
0.006,1.38505,-0.54109,9.82940
0.042,1.58496,-0.56862,9.71926
0.075,1.62327,-0.54468,9.80665
0.110,1.92853,-0.60693,9.84975
0.145,1.96205,-0.70868,9.85453
0.181,1.86987,-0.57102,9.56962
0.221,1.21985,-0.67756,8.77475
0.255,3.47518,-0.55306,9.65222
0.289,2.19429,-0.56024,9.64265
0.325,2.15358,-0.53151,9.73123
0.361,2.08056,-0.50518,9.75039
0.399,2.29724,-0.50518,9.59476
0.430,2.29963,-0.61770,9.73842
0.467,2.25294,-0.57940,9.54808
0.501,2.23379,-0.55545,9.73722
0.536,2.37984,-0.73981,9.70849
0.570,2.18710,-0.53032,9.61631
0.606,2.31400,-0.58538,9.49181
0.642,2.45765,-0.77692,9.64145
0.675,2.51870,-0.64045,9.51336
0.711,2.40857,-0.81882,9.52413
0.745,2.32836,-0.68833,9.15902
0.781,2.85389,-0.87508,9.28471
0.816,2.71383,-1.04387,9.46308
0.850,2.84192,-0.75657,8.88728
0.887,2.67432,-0.76136,9.08360
0.924,3.00472,-0.51834,9.08600
0.958,3.28604,-0.90980,8.99142
0.990,3.69665,-0.83438,8.90164
1.028,4.18267,-1.04148,8.73405
1.064,4.24492,-1.08936,9.31584
1.096,3.75531,-0.86910,9.02135
1.130,4.11922,-0.86311,9.19852
1.168,3.73615,-1.06422,9.40802
1.201,3.89896,-1.05824,9.39724
1.236,3.85227,-0.86910,9.09078
1.270,4.14197,-0.79009,9.70849
1.306,3.49075,-0.98761,9.59117
1.341,3.46920,-0.79607,9.06564
1.382,4.20063,-0.74699,8.77116
1.410,4.43406,-1.30245,9.48942
1.448,4.09768,-0.99000,9.10635
1.483,4.24851,-1.00796,8.86693
1.523,4.32752,-1.09774,8.85136
1.556,3.95642,-0.92536,8.54969
1.590,4.52863,-1.07380,8.76398
1.627,4.38498,-0.87747,8.69335
1.661,4.56933,-1.21745,8.59279
1.696,4.46399,-1.26174,8.68736
1.742,4.83509,-1.55503,8.81784
1.765,4.71059,-1.39462,8.56645
1.811,4.59208,-1.55384,8.34619
1.835,4.59208,-1.53947,8.26000
1.871,4.60764,-1.54306,8.28514
1.906,4.88297,-1.66756,8.38809
1.943,4.68545,-1.67714,8.33661
1.975,4.85185,-1.57179,8.66581
2.010,4.53462,-1.54067,8.42280
2.045,4.75608,-1.48321,8.64427
2.083,5.24091,-1.51553,9.04649
2.116,5.26365,-1.10971,8.81306
2.150,4.92607,-0.95648,9.06205
2.186,4.92008,-0.67876,9.16381
2.227,5.07092,-0.41659,9.65701
2.255,4.94762,0.32082,9.99938
2.296,4.19823,-0.07422,10.14543
2.330,4.82551,-0.02634,10.91876
2.368,5.01106,0.07302,11.35091
2.402,5.28999,0.49919,12.77546
2.436,4.91290,1.17196,13.11903
2.471,4.78122,1.88543,14.26824
2.507,4.94762,2.04465,13.68645
2.541,4.99909,1.95846,13.94623
2.589,4.31196,2.90536,13.40753
2.610,4.77284,2.87185,13.50928
2.650,3.74693,3.65116,12.28226
2.682,3.66193,3.93726,11.11269
2.718,2.73657,4.27126,9.97305
2.750,2.29724,5.14394,8.67898
2.787,1.31801,4.83988,7.52498
2.822,0.94092,4.57532,6.41885
2.866,0.50757,3.59250,5.57131
2.896,-0.23703,2.90058,3.78404
2.929,-0.88346,2.71622,1.98120
2.965,-2.32597,2.77967,0.18555
3.005,-3.01310,3.08134,-2.11288
3.035,-3.71820,2.98198,-3.36625
3.073,-4.00071,2.88262,-4.88417
3.105,-4.38019,2.13563,-5.61799
3.143,-4.55257,1.85192,-6.44878
3.176,-5.38815,1.50236,-8.24324
3.222,-5.55934,1.20189,-8.40006
3.246,-6.16028,1.41378,-10.23521
3.282,-6.88453,1.47124,-11.40358
3.322,-8.94593,1.35512,-13.69723
3.356,-9.03691,2.26731,-15.78617
