time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.75417,-1.52989,9.51575
0.012,1.12408,-1.76213,9.63786
0.046,1.48680,-1.60890,9.91559
0.082,1.31442,-1.33118,9.64744
0.118,1.47124,-0.37948,9.36492
0.152,1.81241,0.00479,9.55765
0.188,1.37547,0.36152,9.72525
0.222,1.53468,-0.31244,9.72046
0.258,1.73819,-0.90860,10.20050
0.292,1.79086,-1.05465,10.26873
0.328,1.42934,-1.31083,9.77313
0.362,1.45208,-1.26055,9.89643
0.399,1.30125,-1.19471,9.61751
0.432,1.62327,-1.36230,9.85453
0.468,1.75136,-1.39582,9.54329
0.502,2.00634,-1.45089,9.71328
0.539,2.19069,-1.68312,9.22606
0.572,2.65637,-1.81840,9.65103
0.609,2.38941,-1.73220,8.74841
0.648,2.25654,-1.44251,9.31584
0.682,2.09373,-0.96247,8.72926
0.719,2.72460,-1.00437,9.56484
0.753,2.50553,-0.98162,9.31943
0.788,2.56539,-0.66559,9.06325
0.822,2.33076,-0.47645,9.45949
0.858,2.25773,0.34596,8.87411
0.897,2.10450,0.18555,9.53371
0.928,2.56658,0.25498,10.37647
0.963,3.50391,0.58538,11.15459
1.000,3.61644,0.39145,11.95425
1.039,2.88501,0.56982,12.91073
1.072,2.76171,0.81403,12.52168
1.108,3.01310,1.02831,12.84369
1.142,2.42054,1.89501,13.48055
1.188,2.30442,2.70784,13.82053
1.213,2.97480,2.71502,15.63174
1.259,2.86825,2.72939,16.18241
1.283,3.71580,2.60010,15.49168
1.320,3.95283,3.11486,14.81173
1.353,2.65756,2.96282,12.64737
1.388,3.08613,4.30597,11.03368
1.428,2.51870,4.33590,10.60392
1.462,1.68791,3.85706,8.70173
1.499,0.93853,2.98318,7.12275
1.532,0.96965,2.97599,5.17267
1.568,0.13767,1.89860,3.89656
1.610,-0.49560,2.06260,1.97522
1.638,-1.19351,2.33794,0.08140
1.675,-2.53905,2.29365,-1.78847
1.708,-3.32674,2.60489,-3.88220
1.746,-3.92170,2.61327,-5.46117
1.782,-4.43286,2.23618,-6.41287
1.819,-5.11282,2.12725,-8.52216
1.852,-6.42843,2.35230,-10.88045
1.888,-8.34738,2.91135,-14.85602
1.922,-9.66180,3.46800,-18.15284
1.971,-11.15578,3.93726,-21.76449
1.999,-12.69166,5.71735,-27.20651
2.033,-12.45943,4.86861,-26.09081
2.068,-8.21929,-1.20907,-17.94215
2.102,-0.32561,-13.19205,13.29620
2.139,10.50695,-20.62605,5.70299
2.173,22.36783,-30.66254,17.81765
2.208,-1.52152,12.88200,16.80251
2.242,-4.40892,26.31108,2.05422
2.279,-6.52779,3.04782,9.22366
2.318,0.60334,11.60829,8.86573
2.347,-2.30202,10.90559,3.90375
2.382,-2.36787,10.05086,4.95360
2.419,-1.81361,8.46590,4.49272
2.455,0.21548,6.92523,5.41568
2.488,-0.89902,6.31590,5.63475
2.531,-0.38547,7.61596,4.69383
2.563,-1.25576,7.83742,5.92325
2.599,-1.56820,8.53653,5.63595
2.633,-1.45448,8.58202,5.84305
2.668,-1.78727,8.53054,6.01064
2.702,-1.84234,8.25401,5.47674
2.740,-1.99437,7.85538,5.26365
2.772,-1.40300,8.31985,5.85981
2.813,-1.58137,8.37492,5.92325
2.842,-2.13802,8.58321,5.06015
2.879,-1.69629,8.21929,5.24689
2.912,-1.19351,8.07684,5.86819
2.948,-2.46722,8.48744,4.89135
2.982,-2.13204,8.17500,4.75010
3.020,-2.04824,8.48266,4.64715
3.052,-2.14760,8.05170,4.87100
3.088,-2.57257,8.11395,4.23774
3.130,-2.19788,7.95114,4.32513
3.163,-2.65756,7.77517,4.20661
3.192,-2.66116,6.85580,2.87544
3.235,-2.46722,5.35703,2.04944
3.270,-2.25055,4.90692,1.03190
3.302,-2.10690,3.52187,1.33477
3.332,-2.23140,2.17154,1.25217
3.375,-2.44807,3.26210,0.28132
3.402,-2.26132,3.17232,1.29646
3.439,-3.55300,3.22020,2.92691
3.472,-3.11486,4.97635,2.98916
3.508,-4.22816,4.52624,4.78122
3.542,-4.31315,4.41132,5.92924
3.579,-5.40970,3.30879,8.96748
3.619,-5.54617,1.92614,11.15818
3.663,-7.26520,1.19231,12.59829
3.688,-6.90129,0.82001,15.34324
3.723,-3.81516,0.21548,17.76617
3.759,-2.53187,-0.77931,16.64808
3.793,-0.57221,1.67714,17.35437
3.828,-0.32920,-0.46687,14.95179
3.862,-0.82241,-0.48123,13.40992
3.899,-0.35793,0.64404,12.61265
3.933,-1.28209,0.30765,10.85651
3.968,-1.16238,1.03310,9.99699
4.002,-0.49440,0.34955,9.75158
4.039,-0.01077,0.72544,9.53132
4.073,0.27773,0.74579,9.59476
4.108,1.24259,1.12767,9.74679
4.144,1.53349,1.02232,10.52012
4.179,1.12408,0.60932,10.68532
4.229,1.20787,0.35075,10.66617
4.252,1.41258,0.37709,10.15261
4.287,1.51433,0.13886,10.43992
4.323,0.88945,-0.19992,10.09635
4.359,0.73741,0.04190,10.27112
4.392,0.68714,-0.12091,9.77912
4.432,0.85832,-0.22146,9.92636
4.468,0.61770,-0.30406,9.77912
4.503,0.98521,-0.06345,9.91319
4.540,0.98162,0.02274,9.88925
4.579,0.82480,-0.19872,9.52773
4.608,0.98402,0.13048,9.70131
4.643,1.26294,-0.17717,9.96586
4.678,1.12887,0.00000,9.72166
4.713,1.27012,0.19154,10.43273
4.748,1.16238,-0.25019,9.91199
4.782,1.32160,0.07183,10.03290
4.819,1.27012,-0.08499,10.40879
4.853,1.53947,0.12929,10.25077
4.888,1.49638,0.41300,9.80306
4.924,1.16119,0.01676,9.97424
4.957,1.63404,0.24660,10.01734
4.992,2.46722,0.27892,10.23402
5.027,2.22900,0.37469,9.74440
