time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.06225,-0.14365,9.16860
0.020,0.34357,-0.21189,9.67018
0.057,0.87987,-0.32681,10.32140
0.091,0.53032,0.02873,9.70490
0.126,0.86670,0.08978,9.85453
0.161,0.81882,0.33160,9.37689
0.201,1.15520,0.45490,9.46308
0.231,1.24259,0.87628,9.35055
0.269,1.40659,0.62489,9.45710
0.301,1.49757,0.89783,9.17698
0.337,1.76333,0.78889,9.69771
0.371,1.64242,0.92416,9.71447
0.407,1.40181,0.49919,9.84975
0.441,1.52989,0.52194,10.16578
0.478,2.04585,0.23343,10.52491
0.512,1.75375,0.14605,10.24479
0.548,2.03866,-0.02993,9.99819
0.581,2.46363,-0.09098,10.52252
0.618,2.08296,-0.22146,10.06283
0.651,2.01233,-0.32561,9.71567
0.687,2.10690,-0.69791,9.36731
0.721,2.66116,-0.54229,9.22965
0.766,2.33315,-0.28252,8.70292
0.791,2.42413,0.23583,8.52815
0.831,3.24414,0.13288,9.33858
0.862,3.79720,0.27174,9.48104
0.899,3.31717,0.50637,9.68933
0.937,2.95085,0.36152,9.16141
0.972,3.18668,0.25857,9.44991
1.009,3.20105,0.30406,9.85573
1.041,3.04902,0.44293,9.20810
1.078,2.78924,0.47046,9.02135
1.116,2.98796,0.26456,9.84975
1.147,2.41814,0.49799,9.40921
1.193,2.79403,0.59017,9.32302
1.218,3.52666,0.35793,9.83897
1.252,3.84988,0.46926,10.15141
1.286,3.50391,0.67876,9.85813
1.331,2.93170,0.69911,10.29986
1.361,3.34949,1.02711,11.66216
1.399,3.37223,1.72023,11.65138
1.431,3.95402,2.54982,12.45583
1.478,4.46399,2.46962,12.38521
1.501,3.43448,2.62405,13.27226
1.544,3.74094,3.43688,14.24191
1.571,2.98916,2.47800,14.02044
1.607,3.21661,3.69784,13.58111
1.646,2.72580,3.36146,12.59949
1.681,2.59292,3.65116,12.79102
1.718,2.45406,3.85466,11.41077
1.759,2.27569,3.94804,9.55406
1.787,2.12126,4.45202,8.73644
1.838,1.30723,4.92487,7.73327
1.861,0.16041,4.99311,6.46195
1.897,-0.00718,5.48033,5.71975
1.932,-0.50398,5.36780,4.59567
1.968,-0.97444,5.28400,3.21900
2.001,-1.61130,4.82072,2.54264
2.046,-2.03866,4.68545,0.73382
2.077,-2.48758,4.30118,-0.44772
2.112,-3.17950,4.18506,-1.92853
2.147,-3.32914,3.60447,-2.85149
2.183,-3.50152,3.04902,-3.63320
2.218,-3.87142,2.97958,-5.31034
2.251,-4.61123,2.09134,-6.33745
2.290,-5.06254,2.12007,-8.00382
2.323,-6.25365,1.75854,-9.71567
2.359,-6.97192,1.58736,-11.44189
2.394,-7.06289,1.66756,-11.65258
2.426,-9.78630,1.23541,-12.97657
2.461,-8.50780,2.54384,-15.56590
2.498,-8.62032,2.49356,-14.09826
2.539,-9.60434,1.92853,-17.12094
2.567,-11.61188,3.23337,-21.12883
2.608,-12.44386,3.54940,-24.06651
2.641,-11.06480,1.15640,-22.85505
2.677,-4.92128,-9.30507,-9.22366
2.712,7.33105,-16.98926,5.11880
2.747,12.01770,-30.87084,14.25268
2.781,11.62624,-9.94073,15.36958
2.818,4.40294,23.60443,6.28837
2.859,-6.11479,6.27879,7.02938
2.893,-2.19548,10.12987,6.88453
2.926,-0.75776,9.12909,5.80714
2.959,-3.55539,10.01614,2.43610
2.991,-1.18034,9.26197,4.75488
3.030,-0.28491,8.67778,4.60166
3.061,-0.82241,8.83221,3.67749
3.097,-1.38265,7.31189,4.73214
3.131,-1.15520,8.40006,4.59567
3.168,-1.38026,8.34140,3.57813
3.201,-1.68073,8.45033,4.95121
3.237,-1.78967,9.44034,4.96198
3.272,-2.41695,9.15543,4.55856
3.307,-2.89220,8.11994,4.32153
3.348,-1.45448,8.68736,5.26246
3.378,-2.05422,7.72968,4.74890
3.412,-2.12007,8.06726,4.32034
3.447,-1.30125,8.01698,4.99550
3.481,-1.99078,8.28753,4.40773
