time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,2.39061,-1.32519,10.16937
0.014,2.23499,-1.10133,9.33260
0.051,2.56898,-1.31921,9.54329
0.085,2.81678,-1.29047,9.43794
0.121,2.78087,-1.32758,9.46308
0.155,2.74136,-1.45927,9.10635
0.191,3.20224,-1.06303,8.99023
0.225,3.02507,-0.87747,8.83820
0.261,3.11366,-0.81882,8.93636
0.296,3.03585,-0.98521,9.08959
0.332,3.46680,-1.52630,9.35534
0.365,3.49075,-2.28167,8.91840
0.401,4.23534,-2.48758,8.39647
0.435,4.04022,-1.89621,8.38928
0.472,4.14556,-2.42892,8.64187
0.505,4.30477,-1.88543,8.76757
0.541,4.32752,-1.98240,8.53413
0.581,4.08571,-1.33357,8.51139
0.620,4.64116,-1.59095,8.76517
0.652,3.73376,-0.77812,8.63229
0.686,3.95163,-0.70629,8.22528
0.721,4.24971,-1.24139,9.23444
0.758,4.73094,-1.73939,10.21486
0.793,5.11521,-1.39343,9.84975
0.826,5.12838,-1.20787,9.75158
0.861,4.80037,-0.79966,10.66497
0.897,5.18943,-0.30406,10.59674
0.932,5.27562,-0.00239,11.69687
0.966,4.73813,0.24421,12.27866
1.002,5.25767,0.80445,13.23634
1.041,6.19021,0.93015,13.55597
1.075,7.09761,1.19830,14.48851
1.114,6.86537,1.58855,14.06833
1.145,6.70376,1.93930,13.25310
1.181,7.06409,2.55102,12.40077
1.215,5.65630,2.53546,12.73835
1.252,5.36421,2.86586,11.23359
1.285,4.71777,3.49075,10.49379
1.321,3.79601,3.68946,9.96706
1.358,3.44885,3.57694,8.64905
1.392,2.29484,3.50511,6.17704
1.425,1.17316,3.31717,4.47476
1.476,0.26336,2.96282,3.12324
1.501,-0.57700,3.06338,1.10732
1.536,-1.41258,2.97839,-0.62130
1.572,-2.35829,3.10408,-2.23499
1.606,-2.91853,2.93409,-3.68348
1.641,-3.57574,3.25013,-5.35583
1.676,-5.23492,2.74974,-7.22091
1.711,-5.90530,3.44765,-9.34457
1.745,-7.61715,3.50870,-11.32098
1.781,-8.48744,3.85706,-13.83489
1.831,-10.45308,4.17429,-15.50605
1.852,-11.81898,5.63475,-19.12728
1.888,-12.81856,6.59842,-21.22580
1.921,-13.78102,7.34062,-24.20658
1.957,-9.96946,2.30442,-15.22473
1.992,1.10373,-11.50294,16.19917
2.026,4.39216,-16.94257,2.49715
2.061,18.44613,-13.51287,17.05390
2.098,6.37576,8.48146,12.52168
2.133,8.03734,4.74411,12.51689
2.166,2.47800,9.88805,4.88058
2.200,0.47525,11.25275,2.24337
2.236,0.13647,6.46195,4.76326
2.273,-0.48722,10.66737,2.83354
2.311,1.59813,8.26957,5.52342
2.341,-0.94212,9.24760,1.90818
2.379,-0.57700,9.31344,3.62722
2.412,0.59017,8.38689,4.52145
2.447,-1.44131,9.53251,2.91015
2.481,-1.65200,9.33140,2.21823
2.523,-0.42377,9.15303,3.57933
2.552,-0.87508,8.79031,4.05099
2.586,-1.92254,9.02255,3.59609
2.621,-1.63045,8.91601,3.62961
2.658,-0.92177,9.16261,4.92607
2.695,-1.31202,8.85376,4.87220
2.734,-0.88466,9.44752,4.54539
2.766,-1.64482,8.80468,4.82910
2.803,-0.51475,8.90882,5.16070
2.836,-0.27174,8.76038,4.88896
2.877,-0.48243,8.66342,5.46955
2.912,-0.15443,8.76637,5.01585
2.946,-0.13288,8.71609,5.55575
2.982,-0.89783,7.93319,5.09726
3.015,-0.34357,7.85059,4.94163
3.051,-0.77812,7.87094,5.29957
3.086,-1.76094,6.90368,4.58250
3.120,-1.61130,6.33865,4.26766
3.174,-1.34315,5.09965,3.38301
3.195,-2.65038,4.13000,2.49596
3.232,-2.03387,3.79601,1.53588
3.265,-2.29963,2.66714,0.21548
3.301,-0.97923,4.87220,1.29766
3.335,-1.18633,2.27090,2.28167
3.374,-0.10295,4.43526,2.69228
3.406,0.86550,4.10246,4.49392
3.448,0.27294,2.94966,5.88615
3.476,0.28491,4.39935,7.82425
3.512,1.93691,2.42413,9.62230
3.545,1.81720,1.23541,12.16733
3.581,3.63560,0.61770,14.18445
3.616,7.21852,-0.99958,14.56632
3.653,6.81390,-3.02029,15.41507
3.686,8.30549,-0.20231,16.17523
3.720,7.14669,-2.92452,14.67526
3.756,6.22492,-5.12599,13.56435
3.791,6.61159,-4.19584,11.83693
3.826,6.52061,-3.80199,10.63983
3.870,6.14352,-3.46800,9.60434
3.895,5.65151,-3.19746,8.98903
3.934,5.88136,-3.45842,9.95868
3.966,5.17626,-4.11084,11.05044
4.001,5.61081,-4.44244,10.14064
4.036,6.24767,-4.52265,8.24443
4.073,5.38695,-5.30555,8.19655
4.113,4.01268,-5.11282,7.19458
4.149,4.10965,-4.92607,6.87974
4.181,4.76925,-5.24570,7.31907
4.223,4.89734,-4.64355,7.42562
4.252,4.50708,-4.49033,7.83622
4.286,4.25809,-4.92607,7.83024
4.321,3.17351,-4.52863,9.23563
4.357,3.34231,-4.78721,9.19733
4.392,2.53307,-4.90093,9.58040
4.439,4.05937,-5.36062,9.98622
4.476,3.27527,-4.50110,8.99861
4.505,3.56018,-4.25809,8.62391
4.545,3.86304,-3.79481,8.23127
4.576,3.62482,-2.85269,8.00142
4.612,3.27407,-2.34871,7.33823
4.646,2.64440,-2.35829,7.73088
4.681,3.42251,-1.73699,8.34379
4.716,3.07056,-1.42455,8.59878
4.751,3.09810,-0.75298,8.04691
4.786,2.99634,-0.04429,9.00938
4.821,1.96684,-0.02394,9.08719
4.855,2.40019,0.31723,8.71849
4.904,2.79643,-0.26097,9.81862
4.935,2.93409,-0.91459,9.87728
4.964,3.27527,-0.69552,9.02853
4.996,2.59651,-0.63805,8.63708
5.035,2.40737,-0.56024,9.20331
5.066,2.55461,-0.00359,9.23922
