time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.99120,-1.14203,8.58082
0.017,1.44490,-1.15520,9.52773
0.053,0.56144,-0.97205,10.46266
0.088,0.86550,-1.15879,9.79947
0.124,1.10373,-0.88466,9.81982
0.158,0.75537,-1.06303,9.83778
0.193,1.07260,-0.74819,9.81982
0.230,1.15640,-0.99599,9.88686
0.265,0.90980,-0.97683,9.70131
0.304,1.11330,-1.07141,9.84975
0.338,1.15401,-1.23780,9.91199
0.373,1.06662,-1.23182,9.80665
0.408,0.88466,-1.33118,9.79468
0.444,1.16957,-1.29167,9.82940
0.478,1.31322,-1.36709,10.12268
0.513,0.87867,-1.29167,9.78989
0.553,0.99000,-1.19710,9.94192
0.586,1.00078,-1.32160,10.00178
0.620,0.84635,-1.26893,9.84975
0.653,0.83558,-1.22942,9.90122
0.689,1.04387,-1.32040,9.85453
0.725,1.16957,-1.21147,9.91439
0.759,1.18752,-1.34075,9.78391
0.800,2.14520,-0.83199,10.12388
0.833,2.65038,-1.27252,9.73363
0.868,2.97480,-0.76136,9.80426
0.909,3.03226,-1.35272,9.13627
0.939,2.64918,-0.92775,8.24563
0.976,3.08732,-0.84036,8.36773
1.009,2.46842,-0.76255,8.67898
1.057,2.43849,-0.77213,8.12831
1.078,2.38343,-1.00676,9.50259
1.113,2.62165,-0.80804,9.20810
1.149,1.33477,-1.77889,9.40323
1.185,1.89621,-0.91339,9.34816
1.222,1.88184,-1.56581,9.77912
1.263,1.73460,-0.65960,10.09395
1.293,1.76094,-1.39582,9.66779
1.331,2.85509,-0.88346,10.24958
1.365,2.38223,-1.05824,10.35732
1.399,2.62405,-0.84755,10.59195
1.433,3.79481,-0.93733,10.70088
1.469,5.17387,0.63446,9.51815
1.505,2.52588,-0.41180,10.35013
1.542,3.80918,-0.95529,11.27669
1.573,4.45920,-0.33279,10.70448
1.611,4.41012,-0.02394,10.79546
1.645,4.08690,0.03711,11.56998
1.679,5.09606,0.04549,13.01129
1.713,4.93325,0.45370,11.66335
1.767,4.90452,1.08457,11.35450
1.785,4.77883,1.08816,10.83017
1.826,3.94205,1.72023,12.61026
1.853,4.52145,2.49476,12.54083
1.890,3.69066,3.33632,13.16931
1.928,2.97719,3.90255,11.23479
1.965,2.75213,4.92607,11.90637
2.005,3.05620,4.48913,11.85968
2.039,3.03704,4.97874,10.80982
2.073,1.24858,5.63236,10.11550
2.121,1.68791,5.05895,9.28711
2.145,1.58257,4.34787,8.32105
2.179,0.58299,3.99113,6.46794
2.213,0.47046,3.48715,4.44364
2.254,-0.58059,3.18549,2.94966
2.289,-1.21147,3.59609,1.19830
2.326,-2.62405,3.62961,-0.55067
2.358,-3.13640,4.13838,-1.70587
2.393,-3.88818,3.93367,-2.85269
2.429,-3.80439,4.55497,-3.74573
2.465,-4.80277,4.47357,-4.80756
2.499,-5.24929,4.95001,-5.74608
2.533,-5.84185,5.44920,-6.80791
2.569,-7.27957,5.98311,-8.10437
2.604,-8.12472,7.74524,-10.25676
2.638,-9.33499,8.18817,-11.22282
2.673,-10.16698,8.93396,-13.58470
2.708,-10.47224,9.84376,-14.00249
