time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.36512,-1.67953,10.28070
0.016,2.76171,-0.76734,9.96347
0.054,2.28407,-1.22703,9.86770
0.087,1.81720,-0.76614,9.48224
0.125,1.71425,-0.96965,9.76834
0.165,1.97402,-1.04986,9.70370
0.197,2.18231,-1.11809,9.81862
0.234,2.20147,-0.90980,9.79588
0.275,2.02190,-0.98043,9.63307
0.315,2.18591,-1.15879,9.96467
0.355,2.00155,-0.94212,9.61152
0.395,2.01472,-1.19351,9.56843
0.434,2.08894,-1.04986,9.52653
0.481,2.06500,-1.19950,9.37210
0.515,1.80283,-1.07021,9.18895
0.555,2.07458,-1.14563,9.49660
0.588,1.98240,-0.93015,9.43555
0.625,2.15239,-1.05105,9.34457
0.665,2.44687,-1.26055,9.89763
0.700,2.07098,-0.89304,9.95150
0.734,1.68312,-1.06662,9.19254
0.768,2.03387,-1.20548,9.74440
0.806,2.41455,-1.32878,9.52294
0.838,2.35949,-1.20189,9.17937
0.875,2.93050,-1.27970,9.44034
0.910,2.51152,-0.93254,8.25281
0.954,3.35188,-0.53750,9.22127
0.995,3.39019,-0.30406,9.54568
1.035,3.39737,-0.36272,9.99938
1.075,3.33991,-0.61052,10.86608
1.115,2.27090,-0.13767,10.23162
1.154,2.56778,0.09936,10.22803
1.195,2.62405,0.14964,10.45308
1.235,2.16196,0.36033,9.68574
1.269,2.84671,0.61411,10.32739
1.315,3.34829,0.81044,9.66300
1.354,3.24055,1.36589,9.99100
1.387,3.57454,1.27012,10.24239
1.424,3.07176,1.31681,10.50336
1.465,3.14359,1.77889,12.08832
1.505,4.62919,2.48997,12.53604
1.545,3.59489,2.44328,12.94665
1.585,3.55300,2.63721,12.20923
1.620,3.27766,3.12084,12.56836
1.655,3.15197,3.55539,12.02967
1.695,2.40258,4.16831,10.16698
1.735,1.85072,4.90452,10.36450
1.775,1.05704,5.04817,8.94953
1.816,0.85593,6.11599,7.73567
1.855,-0.07183,6.45597,7.56568
1.900,-0.36392,6.19859,6.58525
1.935,-0.34357,6.72890,5.87417
1.977,-0.73143,6.64750,4.79080
2.015,-1.39343,5.93523,3.45483
2.045,-1.52391,5.52701,2.06380
2.085,-2.58095,4.79439,1.05465
2.121,-2.82396,5.12599,-0.60813
2.155,-3.48835,4.47835,-1.30364
2.194,-4.08690,4.39695,-2.99874
2.228,-4.56814,4.45082,-4.31315
2.268,-4.18506,3.87382,-4.45322
2.315,-4.46399,3.21661,-5.52342
2.345,-4.99550,2.80122,-6.58765
2.391,-5.56891,2.33195,-7.71053
2.418,-6.27161,2.26731,-10.20289
2.458,-7.66863,2.10929,-13.53562
2.495,-8.84298,2.19668,-16.19558
2.535,-10.86489,1.62087,-18.78730
2.575,-11.42513,2.10331,-21.27488
2.610,-12.16135,2.50314,-23.19742
2.648,-13.89475,2.67791,-28.24799
2.685,-7.10120,-7.61835,-10.14304
2.717,4.81594,-14.69202,7.44118
2.754,8.80707,-26.84139,7.88770
2.796,13.08910,-13.79778,11.38443
2.834,7.28316,25.74365,12.33732
2.875,-6.19021,3.54342,3.56018
2.915,2.73418,11.29584,11.85609
2.960,-1.29526,8.23965,4.83030
2.995,0.44053,10.50815,2.64799
3.026,0.78171,8.66342,4.73453
3.065,0.01796,9.99220,3.93726
3.098,-0.74579,8.09719,5.62637
3.135,-1.41976,7.24485,4.85305
3.175,-1.32758,8.64786,4.96917
3.219,-1.05345,7.17183,6.13275
3.256,-2.18950,8.05769,5.25767
3.288,-2.16915,8.33302,4.92846
3.325,-2.01113,8.17500,4.78840
3.375,-1.46765,8.28394,5.63595
3.405,-2.57496,8.16782,4.93445
3.445,-2.39181,7.88052,5.61560
3.485,-3.14838,8.32105,5.21457
3.523,-2.91374,8.15226,5.17507
3.565,-2.24816,8.15824,5.57011
3.605,-2.32477,8.07205,5.26365
3.650,-2.28646,7.97748,5.13556
3.686,-1.90219,7.95833,5.20380
3.725,-1.80164,8.10916,5.20499
3.765,-1.72861,7.87692,4.96079
3.797,-2.32716,7.37893,4.78362
3.835,-1.85072,6.50864,3.98635
3.875,-1.59214,3.52067,1.91656
3.915,-1.06662,1.92733,-0.47764
3.949,-1.67714,2.92212,-0.82121
3.995,-0.41180,1.62207,0.85353
4.035,-1.33237,2.72580,-0.18794
4.069,-2.14999,3.92290,1.76333
4.105,-1.72622,3.98994,5.80474
4.146,-4.68665,3.82833,4.57891
4.187,-3.00233,3.10049,10.84334
4.225,-1.47603,1.40181,12.92151
4.254,-2.61686,-0.22625,13.81215
4.295,-0.94691,-1.49278,18.70829
4.328,0.15921,-1.72622,19.14164
4.364,1.38026,-3.09091,19.80364
4.405,1.46884,-1.08218,17.90384
4.446,0.51595,-0.30646,15.71195
4.492,2.33315,-0.69432,13.46978
4.525,1.27372,-0.82600,12.95143
4.565,0.19632,0.01077,10.74637
4.605,0.07422,0.11851,9.80306
4.640,0.17238,-0.06105,9.87129
4.689,0.44772,0.17119,9.71088
4.725,0.74579,0.08619,9.26197
4.766,0.39025,-0.22984,9.30985
4.805,1.38864,-0.19992,9.11473
4.851,0.99120,-0.06823,9.69891
4.875,1.09774,-0.25738,9.55526
4.915,0.79128,-0.56144,9.84975
4.957,0.63566,-0.18675,9.98382
4.988,0.51834,0.00120,9.76595
5.028,0.50757,-0.35314,10.02931
5.065,0.65841,-0.28611,10.01854
5.112,0.27414,-0.28491,9.78869
5.145,0.46807,-0.50996,10.09395
5.187,0.73382,-0.31603,10.23162
5.225,0.44532,0.60214,10.18493
5.264,0.86910,-0.73382,9.82461
5.304,0.98282,-0.42258,10.42435
5.344,-0.90501,-0.11971,8.98664
5.385,-0.86670,-0.45490,10.33936
5.427,0.22146,-0.17119,10.26275
5.467,0.30167,-0.28730,10.12508
5.505,-0.09098,-0.23703,9.69891
5.545,-0.07183,-0.19034,9.75877
5.585,-0.12809,-0.41779,9.70729
5.625,0.09098,-0.08978,9.78031
5.671,0.10295,-0.12450,9.77792
5.697,-0.84036,-0.68235,9.17937
5.737,1.23661,-0.42617,10.62068
5.774,-0.00958,-0.37350,8.96030
