time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.48201,-0.61411,10.04008
0.015,2.45645,-1.07021,9.01297
0.050,2.15598,-0.77572,9.24880
0.086,2.69348,-1.10133,9.77553
0.122,2.53546,-0.83558,9.42358
0.156,2.46842,-0.95529,9.70131
0.191,2.57496,-1.04866,9.69891
0.226,2.52588,-0.87508,9.61033
0.262,2.47441,-0.83318,9.58040
0.296,2.65517,-0.93374,9.82221
0.331,2.70904,-0.99718,9.66539
0.366,2.67432,-1.00078,9.46548
0.402,2.58574,-1.13365,9.78750
0.436,2.72939,-1.01514,9.67377
0.471,2.66475,-0.81882,9.24042
0.507,2.74016,-1.09535,9.60673
0.543,2.48638,-0.77572,9.37809
0.580,2.85389,-0.97564,9.27035
0.617,3.00831,-1.07141,9.20211
0.652,3.11486,-1.25097,8.72088
0.687,3.43329,-1.10732,8.41323
0.723,3.40216,-1.20189,8.54371
0.757,3.85466,-0.96606,8.28394
0.791,3.74333,-0.99838,8.45871
0.828,3.99353,-1.07619,8.13191
0.862,3.52187,-0.97923,7.29992
0.899,2.93290,-0.67756,4.66630
0.932,4.74531,-0.63566,2.95325
0.971,4.66271,-1.74418,4.20661
1.002,8.78313,-4.41491,5.11761
1.044,12.54203,-6.86657,10.46146
1.076,10.39323,-7.42203,11.31260
1.107,7.34781,-5.08409,5.60004
1.142,6.57089,-3.19147,5.78798
1.176,4.17549,-4.40413,6.57448
1.212,3.91093,-4.90213,8.21690
1.247,3.34470,-3.87262,7.47589
1.282,5.60842,-3.91572,9.05727
1.319,5.38576,-3.90853,8.47667
1.351,3.83431,-3.36744,8.39527
1.387,3.67031,-2.40258,9.58638
1.422,4.27245,-2.41336,10.25197
1.462,5.14873,-2.15718,11.51970
1.491,4.28921,-2.09612,12.26789
1.527,5.00268,-2.20985,12.65814
1.572,4.91889,-1.11809,14.56632
1.606,5.10085,-1.25217,14.41070
1.642,7.16944,-1.33237,14.93024
1.682,7.74285,-0.98521,14.91109
1.712,6.85221,0.40582,14.77821
1.758,6.18662,0.71946,13.99890
1.793,5.99867,1.34674,13.30697
1.819,5.59285,1.75734,11.97221
1.851,3.99712,2.41695,10.05565
1.892,2.87544,3.93726,8.97706
1.927,2.09971,4.44244,7.02938
1.962,2.43490,3.48356,5.92206
1.997,1.64482,3.04183,3.64517
2.044,0.94332,2.16556,2.80002
2.067,-0.12570,1.72383,0.43215
2.105,-2.06260,1.39702,-1.01394
2.136,-3.39857,1.86269,-2.42054
2.173,-4.18147,2.20506,-3.87262
2.207,-5.27921,2.12007,-5.20739
2.244,-5.63954,2.05063,-6.21894
2.277,-7.10001,2.62285,-8.55448
2.311,-8.50660,3.57335,-11.51132
2.347,-9.56843,3.73017,-13.32613
2.383,-11.16536,3.95762,-15.61139
2.416,-13.34528,4.24851,-18.59457
2.451,-14.71476,4.71299,-21.92251
2.491,-15.89989,7.24485,-27.99420
2.532,-13.41471,1.89142,-24.71295
2.562,-3.22260,-15.92024,5.37977
2.606,2.18950,-22.87540,1.19112
2.631,17.53753,-32.86281,20.30283
2.669,9.62948,-0.09577,18.99799
2.702,1.58017,23.71816,12.19965
2.737,10.58955,2.95325,10.43752
2.771,0.92057,9.43435,6.38653
2.808,3.16154,9.28112,4.89495
2.842,0.95409,8.65504,4.86861
2.877,-0.24301,9.64504,3.18070
2.911,0.97205,7.85418,4.97036
2.947,0.93613,8.24683,4.24731
2.982,0.69671,7.89967,4.14077
3.020,0.09936,8.50301,4.18147
3.051,1.23182,8.77595,4.69503
3.091,0.53032,8.07804,4.10965
3.122,0.07063,8.72686,3.50870
3.159,1.35033,8.75081,4.83988
3.192,0.44652,8.24802,4.61602
3.227,0.41779,8.58920,3.91572
3.262,0.87388,8.45033,5.78798
3.297,0.66679,8.49223,4.87100
3.331,1.03549,8.24683,5.39773
3.367,1.04627,8.11395,5.18584
3.402,1.04148,7.92241,5.37857
3.437,1.15281,7.59560,5.23253
3.471,2.35230,7.12155,5.77481
3.508,1.78847,6.97311,5.32949
3.542,0.60813,6.06332,4.57891
3.582,0.44652,7.64469,3.68707
3.617,0.99000,6.68102,3.33033
3.651,-0.70749,5.00987,2.23499
3.687,-1.80044,3.81755,1.88424
