time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.70390,-1.79685,7.85657
0.009,3.04542,-0.18794,10.14663
0.044,0.65242,-1.26653,10.43872
0.078,1.27012,-0.79368,9.67976
0.114,1.60531,-0.80325,9.72525
0.148,1.54546,-1.00317,9.96347
0.184,1.37667,-0.84276,9.83538
0.218,1.34195,-0.86072,9.77074
0.253,1.67235,-0.99718,9.88207
0.289,1.41617,-0.76495,9.68215
0.324,1.47124,-1.00317,9.84975
0.359,1.42216,-0.86072,9.82461
0.393,1.41378,-0.85952,9.76355
0.429,1.47722,-0.79009,9.80186
0.465,1.42814,-0.98761,9.82580
0.500,1.63763,-0.76614,9.90002
0.534,1.58017,-0.92656,9.85334
0.569,1.41378,-0.98641,9.81144
0.605,1.54187,-0.75417,9.70729
0.639,1.31083,-0.93134,9.82580
0.674,1.52271,-0.84396,10.01375
0.708,1.39702,-0.82480,9.81862
0.745,1.64721,-0.88466,9.93235
0.783,1.93332,-1.20309,10.25077
0.819,1.98958,-1.42694,9.82820
0.854,2.30322,-1.05824,9.40323
0.889,2.80481,-0.86550,8.62870
0.924,3.18668,-1.20309,7.77996
0.959,3.72538,-0.10175,7.59560
0.994,3.96719,-0.19992,9.03572
1.029,2.98557,-0.88346,9.28711
1.068,2.33076,-0.21308,9.70609
1.099,2.16675,-0.83558,10.23162
1.133,1.42814,-1.63524,11.40358
1.171,1.01514,-1.65798,10.30345
1.206,1.90339,-1.28209,10.33098
1.239,2.56778,-0.62010,9.66060
1.274,2.79044,-0.97803,9.87488
1.308,1.13126,-1.19231,9.12550
1.348,1.69390,-1.06422,9.21648
1.385,3.97437,-2.04225,11.55083
1.419,4.13479,-0.73861,8.51019
1.460,3.16154,-0.20351,6.88692
1.489,4.13120,-0.48842,6.65468
1.528,4.52384,-0.92416,8.14986
1.559,4.77045,-1.00916,7.36217
1.604,3.19147,-1.33596,9.82102
1.629,3.56257,-0.95648,8.62511
1.666,3.81396,-1.40061,8.54969
1.699,5.09965,-1.55025,8.07923
1.736,5.53420,-2.02430,8.77236
1.770,4.70101,-1.90219,8.44076
1.805,4.99311,-1.51194,8.92199
1.839,4.27006,-1.14323,9.98262
1.874,3.83192,-0.72903,11.26951
1.910,6.20098,0.14365,13.37162
1.954,5.27203,0.14245,13.51886
1.979,6.15430,0.26456,13.98573
2.018,7.70215,0.13886,14.24430
2.049,8.58680,0.35793,15.22114
2.086,7.45554,1.16238,14.96017
2.119,8.26957,1.53349,15.33726
2.154,8.53174,1.30364,15.33366
2.191,7.66145,1.01155,13.44584
2.225,6.94797,1.94649,12.34570
2.259,5.55694,1.22463,11.29225
2.294,4.59926,2.15478,9.36133
2.331,2.95804,2.04465,8.38689
2.365,2.37146,1.23900,6.12676
2.399,1.15281,0.79368,4.36343
2.439,0.46567,1.10852,1.98120
2.469,-1.25815,1.18872,0.28970
2.506,-1.44490,2.12366,-1.72742
2.539,-3.34231,1.83635,-2.75094
2.574,-4.75488,2.49955,-4.40413
2.609,-5.30795,2.99754,-6.81988
2.644,-6.70137,3.44765,-8.14507
2.679,-8.34140,4.12760,-9.39604
2.714,-8.48146,5.33069,-10.99058
2.754,-9.46308,6.22852,-11.91834
2.784,-10.88644,7.36217,-13.71758
2.826,-11.47421,8.49702,-14.98052
2.861,-11.96502,9.53012,-18.30487
2.893,-12.30141,10.72962,-21.18509
2.929,-10.71525,4.74890,-16.54034
2.964,-5.97832,-2.59771,0.06704
3.000,9.29309,-14.63097,5.49948
3.033,9.03931,-21.49993,9.27993
3.073,7.18500,-2.54025,16.19797
3.108,-0.12929,23.46916,3.41772
3.144,-5.13676,4.40533,6.16746
3.178,6.26563,5.98670,9.91199
3.216,2.98557,8.65025,7.23887
3.248,0.03232,10.02332,4.69742
3.286,0.64045,9.79228,6.40090
3.318,0.75776,7.87094,6.66905
3.354,0.66080,8.07085,6.86178
3.388,-0.98761,7.89608,5.65391
3.424,-0.17837,7.40886,6.26922
3.458,0.19393,7.79313,6.73968
3.495,-1.44729,7.32745,5.80115
3.533,-0.86790,7.62434,6.16627
3.568,-0.02634,7.02339,6.74447
3.604,-0.24421,7.49385,6.49188
3.638,-0.14006,7.25802,6.16387
3.673,-0.50039,7.13712,5.49948
3.708,-0.01796,8.02177,6.10641
3.744,0.11492,8.22049,6.65468
3.778,-0.07063,8.12592,6.60321
3.813,-0.27414,7.56448,6.38773
3.848,-0.33998,7.61715,6.39611
3.884,0.99479,7.40886,6.81869
3.918,0.56982,7.55012,6.85221
3.953,0.15921,7.39569,6.45597
3.988,-0.07661,7.62553,5.99508
4.024,-0.15562,6.86058,6.45118
4.058,-0.97803,5.97473,5.68743
4.093,-1.01514,4.87340,3.92769
4.128,-0.98881,2.56898,1.88065
4.164,-1.46525,1.67115,0.25977
4.200,-0.82361,1.88065,-0.15203
4.233,0.08978,3.33512,2.79284
4.272,-0.04908,1.20069,3.07176
4.305,0.30646,3.26210,3.72298
4.338,-1.07021,2.77847,4.16591
4.373,0.26217,4.73573,4.16831
4.408,-0.93853,1.50954,8.02896
4.444,1.18034,1.50236,10.66377
4.478,0.98402,1.51433,14.64773
4.513,1.87107,-3.89417,15.45816
4.548,1.20548,-5.62997,19.37987
4.584,2.15358,-4.91171,19.11291
4.618,4.06057,-7.16225,18.74421
4.653,4.76087,-5.93044,20.08376
4.690,0.42976,-4.48554,16.21234
4.724,2.31040,-2.89938,12.41992
4.759,2.13683,-3.11964,12.50372
4.793,2.28167,-2.41216,10.51892
4.828,1.28090,-1.07978,8.85735
4.864,4.22816,-2.41814,10.01973
4.900,3.11246,-3.52187,8.82383
4.935,3.43927,-2.48398,8.09240
4.970,4.57293,-3.71580,8.77475
5.004,3.88579,-3.83551,8.56286
5.039,1.90578,-3.22379,7.57525
5.073,3.29562,-3.61405,8.15944
5.113,3.30160,-3.78523,8.72926
5.144,1.78368,-2.90896,8.10677
5.194,2.89579,-3.40695,8.99142
5.214,2.60968,-3.41174,9.14824
5.249,2.36308,-3.30041,8.30668
5.284,3.04902,-3.30400,9.09797
5.331,2.57377,-3.37702,9.23204
5.353,2.69946,-2.67552,7.60518
5.388,2.35949,-3.57574,9.17458
5.424,4.78601,-3.34111,10.13226
5.459,2.35589,-2.85628,8.61913
