time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.06901,-1.60172,9.99459
0.016,0.98043,-1.28808,9.58279
0.049,1.41378,-1.59214,9.96946
0.085,1.22583,-1.39103,9.51935
0.120,1.36829,-1.38145,9.87608
0.156,1.50116,-1.32160,9.70609
0.189,1.13725,-1.38864,9.68694
0.225,1.39702,-1.23661,9.64744
0.259,1.48560,-1.62447,9.84376
0.296,1.45208,-1.32998,9.73243
0.329,1.34554,-1.49398,9.70370
0.365,1.49638,-1.34315,9.67138
0.400,1.38385,-1.45089,9.64504
0.436,1.46046,-1.32878,9.51216
0.470,1.65439,-1.63404,9.93474
0.506,1.57299,-1.48560,9.93953
0.540,1.41976,-1.43892,9.71567
0.576,1.49398,-1.58017,9.78031
0.610,1.49638,-1.60890,9.56244
0.650,1.52750,-1.55982,9.67976
0.681,1.56461,-1.55264,9.63307
0.716,1.69988,-1.51433,9.64025
0.750,1.59095,-1.66636,9.77193
0.786,1.53708,-1.58855,9.68215
0.820,1.58017,-1.55264,9.72525
0.857,1.61489,-1.73699,9.84975
0.890,1.63165,-1.71664,9.82221
0.926,1.83037,-1.97761,9.45351
0.960,1.90578,-2.03627,8.97706
0.997,2.37505,-2.45047,8.24204
1.030,2.91135,-2.40019,6.90608
1.065,3.45962,-2.25294,7.42681
1.101,2.74136,-3.35308,7.08923
1.138,3.64398,-2.26132,7.78475
1.170,3.89656,-2.30921,9.15543
1.205,3.93367,-2.46603,9.36612
1.240,3.10169,-2.67313,9.49181
1.277,3.39737,-2.59651,9.70849
1.310,3.37343,-2.89579,9.49181
1.347,3.63200,-2.21105,8.92439
1.385,3.27168,-2.78446,8.96389
1.420,3.77326,-2.84072,8.96748
1.474,3.97916,-2.97240,8.08282
1.490,4.34907,-3.33033,9.70849
1.530,4.95241,-3.11127,9.20930
1.560,4.70700,-3.48237,10.21247
1.597,4.52265,-3.18189,10.36091
1.637,4.03423,-2.19548,11.17254
1.682,4.03184,-2.37864,12.64737
1.711,5.85861,-2.55222,13.26388
1.754,4.35625,-2.76291,13.76427
1.780,4.79439,-1.80523,14.20600
1.825,5.00149,-2.43131,15.52520
1.849,6.64750,-2.40617,16.35240
1.886,7.20535,-2.11887,15.75983
1.920,7.09641,-1.43413,15.13255
1.965,6.80911,-0.55905,13.45302
1.990,6.02261,-0.22505,11.99974
2.027,4.78002,0.56264,11.18212
2.060,3.95163,1.54187,10.03769
2.097,2.36547,1.73101,8.25521
2.130,1.66636,2.09373,6.02740
2.186,1.00078,1.39462,4.73932
2.206,-0.13767,1.87346,2.72580
2.241,-1.39941,2.27928,0.43096
2.277,-2.41336,2.77727,-1.10492
2.315,-3.45962,3.25611,-2.44089
2.345,-3.84629,3.56736,-3.64517
2.395,-5.00029,4.16112,-5.00149
2.430,-5.73531,4.32872,-6.44878
2.465,-6.22971,4.43765,-7.41963
2.500,-5.87777,4.70939,-7.26161
2.537,-6.10761,5.21218,-8.02776
2.570,-6.73369,5.63715,-8.64546
2.609,-7.53575,5.92685,-9.50737
2.640,-8.52575,7.46632,-11.97939
2.679,-10.11431,8.39407,-13.34767
2.716,-10.90319,10.88644,-17.02996
2.750,-11.12466,11.01333,-19.65640
2.785,-10.09635,8.05290,-16.06629
2.819,-4.18387,-3.04542,-0.73502
2.856,10.73799,-9.34337,9.49660
2.890,-2.43849,-5.45998,1.52271
2.933,4.78960,0.29688,15.82208
2.960,7.15507,6.62476,15.02122
3.003,1.12288,3.24654,8.34260
3.030,4.78362,8.21211,5.51624
3.069,1.43413,6.47632,5.81073
3.100,2.18112,8.25162,4.91051
3.136,-0.72065,7.36576,3.49913
3.170,1.17795,8.78911,4.61722
3.205,3.57933,8.50540,4.65553
3.241,1.36709,8.36534,3.66433
3.276,1.14563,8.96868,4.35266
3.310,3.38780,9.00340,4.92368
3.346,0.88945,7.87932,5.07331
3.380,1.21625,8.83101,3.38899
3.427,2.41575,8.12113,6.81749
3.450,0.87628,8.01339,5.39054
3.491,1.15760,9.06325,3.94564
3.520,1.41138,8.38569,6.25365
3.558,0.81882,8.32105,4.62679
3.590,0.85712,9.07163,4.87100
3.626,0.75178,8.33422,5.75925
3.661,0.62968,7.98945,4.60285
3.697,1.12288,8.09719,5.43963
3.730,1.05584,8.27915,4.51307
3.766,0.53032,8.32823,4.09768
3.806,0.24181,7.10001,2.19309
3.849,-0.21668,7.16225,2.01113
3.879,-0.00239,5.17626,1.02951
3.915,-1.07619,5.31393,1.99676
3.946,-0.93733,3.70144,0.60573
3.985,-2.18112,2.79762,2.04944
4.016,-1.28569,2.16556,0.89423
4.081,-3.22140,1.09654,3.97916
4.087,-1.50356,0.16759,1.62087
4.125,-3.73256,-1.42096,7.83742
4.159,-4.29041,-2.29005,8.63469
4.211,-6.61159,-4.78122,11.34133
4.238,-6.11479,-3.51828,13.20881
4.269,-7.63272,-3.77206,14.14375
4.299,-4.78721,-4.21260,15.07150
4.338,-4.01986,-5.68862,17.62611
4.370,-4.32273,-5.12120,17.22508
4.410,-4.29999,-3.35547,16.45774
4.440,-3.29801,-3.37223,14.40232
4.478,-1.14563,-3.45004,14.51724
4.510,-0.46567,-2.53666,12.86285
4.546,-0.49081,-0.90621,11.78905
4.580,-0.48602,-1.11211,10.87806
4.624,-0.53510,-0.82121,10.44710
4.650,-0.50637,-0.63446,9.60913
4.692,-0.00120,-1.34434,9.15423
4.720,0.44772,-1.91297,9.62708
4.759,0.18794,-1.95606,9.21887
4.790,0.54229,-1.83037,9.29549
4.834,0.56503,-2.09493,9.74919
4.860,0.23343,-1.91416,9.61631
4.900,0.16161,-1.55982,9.29429
4.930,0.13647,-1.80164,9.84376
4.968,-0.31484,-1.72502,9.34457
5.000,0.02514,-1.73580,9.71926
5.040,-0.07542,-2.14760,10.16339
5.076,-0.03831,-2.08415,9.63068
5.109,-0.26217,-2.17394,10.14902
5.146,-0.36990,-2.29843,9.89404
5.191,-0.03472,-1.91297,9.67138
5.216,-0.37230,-2.46483,9.99579
5.251,-0.28491,-1.93691,9.64145
5.285,-0.18076,-1.91297,9.53012
5.323,0.16400,-2.09373,9.70729
5.356,-0.14844,-1.83037,9.83418
5.390,0.08380,-1.90578,9.71208
5.425,-0.01077,-1.99557,9.76715
5.460,0.30047,-1.89621,9.69293
5.497,0.35913,-2.04106,9.75278
5.531,0.23224,-1.91776,9.68933
5.565,0.16640,-1.95487,9.84496
5.606,0.54588,-1.80523,9.76595
5.640,0.16520,-2.00275,9.90840
5.677,0.12689,-1.92733,9.74320
5.710,0.63686,-1.99198,9.85453
5.746,0.37110,-2.18351,9.86651
5.780,0.19752,-1.92135,9.70011
5.816,0.51475,-1.94409,9.82940
5.850,0.33160,-2.15837,9.81024
5.886,0.38547,-1.97522,9.65821
5.920,0.63087,-1.98599,9.97784
5.957,0.39265,-1.95846,9.81503
5.990,0.16640,-1.78488,9.70969
6.025,-0.49919,-1.71784,8.62870
6.059,2.13683,-2.25893,10.78588
6.095,-0.25977,-2.20626,9.56723
