time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.59574,-1.18872,9.61990
0.012,1.65200,-1.48321,9.37330
0.049,1.88903,-1.57778,9.84376
0.083,1.84713,-1.75136,9.84975
0.118,1.79924,-1.56222,9.65462
0.153,2.20386,-1.37786,9.63068
0.190,2.22900,-0.94212,9.40203
0.229,2.37265,-0.61411,9.46548
0.264,2.38702,-0.72425,9.47386
0.298,2.56060,-0.67397,9.58638
0.333,2.75213,-0.83438,9.54449
0.370,2.70784,-0.68714,9.59357
0.406,2.58933,-1.09774,9.59716
0.438,2.69707,-1.06303,9.87608
0.474,2.48877,-1.16478,9.57681
0.509,2.41455,-1.22942,9.69652
0.544,2.24816,-1.25217,9.66659
0.578,2.47800,-1.40300,9.55646
0.617,2.72580,-1.57538,9.39604
0.650,2.72101,-1.77769,9.32422
0.684,2.57257,-1.52032,8.79749
0.718,2.90177,-1.18393,8.88129
0.756,3.15675,-1.17795,8.72686
0.789,3.14119,-1.32399,8.89446
0.835,3.38301,-1.30005,9.12191
0.858,3.56975,-1.02951,9.03931
0.897,3.25731,-1.04267,9.36971
0.929,2.99275,-0.87269,9.36372
0.966,3.30041,-0.78410,9.39365
0.998,3.63440,-0.84755,9.50977
1.034,3.15197,-1.15760,10.23282
1.070,3.14239,-1.17675,10.17775
1.104,2.67791,-0.85952,9.89643
1.138,3.31477,-0.74340,10.33936
1.174,3.19985,-0.31843,10.90319
1.209,2.85269,-0.02274,12.14938
1.244,2.65038,-0.03472,11.73039
1.279,1.92254,0.66080,12.60308
1.314,2.60848,1.21985,14.05037
1.350,3.68228,1.12527,13.88398
1.387,3.30280,1.55264,13.95820
1.418,4.18985,1.63524,13.67448
1.454,4.01508,2.67193,12.77546
1.489,4.32991,3.33033,12.57554
1.524,4.49033,3.48356,11.39401
1.558,3.53384,4.68306,9.98741
1.593,2.68270,4.79199,9.51695
1.631,2.33076,5.39892,8.77355
1.666,1.96923,6.03578,7.86615
1.698,1.40899,5.63834,6.83904
1.734,0.91698,5.56173,5.69700
1.770,0.07302,4.91769,4.83509
1.812,-0.45011,4.46878,3.23098
1.838,-0.76016,4.31315,2.18231
1.876,-1.49518,3.89776,1.44131
1.909,-1.88783,3.97916,-0.42617
1.944,-2.54145,3.84748,-1.30604
1.979,-3.39139,3.68468,-3.41653
2.014,-3.84629,3.65235,-3.92769
2.050,-4.71658,3.16873,-5.53659
2.084,-5.71616,3.21302,-7.96192
2.118,-7.03057,3.34470,-10.09036
2.153,-8.73165,3.40934,-13.84208
2.189,-9.92636,3.66073,-15.53358
2.225,-11.46583,4.68306,-19.64921
2.258,-12.88081,5.36062,-22.15714
2.294,-12.53604,6.27161,-23.25009
2.329,-9.74679,4.04261,-19.69351
2.370,-7.21014,-3.02867,-8.44794
2.398,7.84221,-9.88207,4.27006
2.434,8.89087,-22.27924,20.31720
2.470,-4.30358,-8.64307,16.84560
2.504,13.49492,19.76414,10.85531
2.538,7.14190,1.82079,13.12382
2.574,2.27569,10.02332,7.60638
2.609,0.79966,7.46033,5.89213
2.644,-1.97402,8.61314,1.47962
2.678,1.10014,9.88566,3.63799
2.714,-0.37709,6.95755,1.35033
2.750,-0.32681,8.94115,1.62207
2.785,-0.03232,8.79390,3.07296
2.824,-0.85832,9.22725,1.31083
2.854,-0.30885,10.95228,1.88424
2.891,-0.16161,8.36893,3.51229
2.924,-0.69671,8.71011,2.98437
2.958,-0.45610,9.14106,3.30280
2.994,0.28132,8.50540,3.59370
3.029,-0.49081,7.86735,2.46962
3.064,0.07901,7.60638,3.06817
3.109,-0.25738,5.07092,1.29167
3.144,-0.54708,6.10162,0.82001
3.178,0.19752,3.32555,0.05986
3.216,-0.59616,1.74657,0.57700
3.251,-0.14724,4.27006,2.34392
3.285,-2.79882,2.09373,4.20063
