time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,2.10809,-1.97402,8.88129
0.016,4.37421,-0.55665,9.48463
0.050,3.23935,-1.42575,9.23683
0.087,3.74573,-0.96127,9.25598
0.121,3.30041,-1.13006,9.02973
0.157,3.58651,-1.10971,9.31464
0.191,3.42850,-1.06422,9.10036
0.227,3.45603,-1.08098,9.22246
0.261,3.53384,-1.15401,9.19733
0.296,3.61285,-1.18633,9.17698
0.331,3.57694,-1.26414,9.03931
0.367,3.56736,-1.19710,9.04889
0.401,3.60686,-1.22823,8.96150
0.436,3.58771,-1.31442,8.80947
0.471,3.73974,-1.34195,8.68138
0.511,3.86065,-1.48081,8.77834
0.541,3.98994,-1.59933,8.31746
0.578,4.11084,-1.54187,8.08402
0.612,4.10007,-1.48441,8.06367
0.647,4.31435,-1.42455,8.32943
0.681,4.90692,-1.44251,8.51378
0.721,4.82910,-1.71305,8.20373
0.771,5.60123,-1.99676,8.93875
0.793,4.93684,-2.15119,9.31584
0.831,5.49589,-1.62207,8.91601
0.861,4.73573,-1.58257,8.83221
0.897,5.12000,-1.30843,8.21929
0.931,4.83150,-1.38864,8.78552
0.967,4.74770,-1.25815,8.81306
1.001,5.11282,-1.20668,9.13029
1.037,4.86143,-1.26893,9.46548
1.071,5.47315,-1.27731,9.81982
1.107,4.57053,-0.42377,10.23761
1.147,4.35146,-0.21907,10.75475
1.185,4.15993,0.16041,11.76032
1.216,4.48075,0.99359,11.67892
1.253,5.31034,1.76453,12.71560
1.288,5.71257,1.63524,12.66293
1.325,5.55814,2.60010,12.77546
1.357,5.21936,2.71263,12.32655
1.391,5.75327,3.28245,12.30141
1.429,5.42526,4.15633,11.84771
1.461,5.00508,4.15274,11.41196
1.497,5.14514,4.67109,10.37408
1.531,4.06057,5.43484,9.94671
1.567,3.71341,5.58807,8.62631
1.601,3.20344,5.37259,8.38809
1.637,2.40378,5.11282,7.52019
1.676,1.51433,4.89255,5.74010
1.707,0.56862,4.02585,4.60884
1.744,0.04908,3.00353,3.24893
1.776,-0.58059,2.82995,1.60052
1.811,-2.27090,2.58095,-0.06584
1.848,-3.26689,3.14359,-2.36427
1.884,-4.29999,3.01669,-4.01029
1.927,-5.52821,3.61046,-6.29316
1.968,-6.93241,3.65714,-8.87052
1.997,-7.80749,3.91811,-10.88284
2.033,-9.41161,4.70101,-14.36521
2.067,-11.15339,5.95797,-17.01080
2.105,-12.58273,6.95516,-20.12805
2.137,-13.61702,7.97149,-23.47515
2.177,-12.57674,8.37252,-23.56134
2.211,-6.64271,-1.37068,-11.70286
2.251,2.82875,-10.12268,10.06283
2.288,6.29555,-29.52889,14.97094
2.321,15.63174,-11.76750,13.67329
2.356,5.90889,21.57774,7.38731
2.391,-0.86910,6.73609,5.92565
2.427,-4.87819,11.86088,3.11486
2.462,0.56024,8.42879,8.30070
2.496,-1.87107,8.31865,6.10881
2.531,-1.61728,10.16099,3.42012
2.568,-2.53187,10.49139,3.29203
2.627,-1.53708,7.91523,5.45519
2.662,-1.71664,9.00340,3.55180
