time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.24181,-2.53307,9.60075
0.018,1.41018,-1.52750,9.84496
0.049,0.94451,-1.97163,9.52294
0.084,1.18034,-1.86029,9.66539
0.119,1.16717,-2.02789,9.73243
0.154,1.27611,-2.06859,9.70609
0.189,1.37188,-1.69150,9.89883
0.224,1.11091,-1.97761,9.76355
0.259,1.03310,-1.94768,10.00058
0.294,1.14922,-1.94289,9.93354
0.328,1.09774,-2.48398,10.34415
0.364,1.16717,-1.64841,10.16339
0.399,0.98641,-1.53947,10.01135
0.434,1.08098,-1.21625,9.99938
0.469,0.95648,-1.87945,9.67377
0.504,1.30364,-2.43371,10.48780
0.539,1.79445,-3.43568,9.66659
0.577,2.65756,-2.86347,8.94833
0.614,3.41533,-2.03148,8.28035
0.649,4.13598,0.55306,8.04811
0.684,2.92093,0.82720,7.93678
0.724,2.95205,2.02071,8.48505
0.761,1.42694,2.61327,9.41999
0.795,1.31681,1.81361,9.66779
0.831,0.81762,1.86628,10.10233
0.865,1.62207,2.42054,9.49540
0.903,1.64242,2.17633,10.75236
0.934,3.75171,1.31561,11.85369
0.968,3.11964,1.41737,10.19930
1.004,3.97078,1.77650,11.48618
1.039,4.22577,2.29005,12.75990
1.077,3.82713,3.63679,12.36845
1.109,4.66271,3.57574,13.95580
1.144,4.37421,4.23055,13.10586
1.185,4.28921,4.32752,12.55998
1.215,4.63158,4.39935,12.45464
1.260,4.37181,4.59447,11.91714
1.285,3.88340,4.76566,11.76511
1.321,2.33794,5.66348,12.63301
1.354,1.93691,6.03339,11.62505
1.390,1.79445,5.49948,11.10072
1.423,2.09493,5.29478,9.91559
1.460,0.83677,5.28759,7.68180
1.494,0.85114,4.65074,6.02142
1.528,0.49799,3.49673,4.75249
1.564,-0.34716,2.59891,2.70305
1.599,-0.72903,2.05063,1.59334
1.634,-1.97881,2.50074,-0.53750
1.675,-3.00472,3.40455,-2.21823
1.709,-3.90135,3.77685,-3.46680
1.756,-5.01825,4.39935,-5.27682
1.775,-5.57610,5.66947,-7.52019
1.810,-7.28196,5.72573,-8.95192
1.844,-7.59082,6.93121,-10.62906
1.882,-9.15064,7.56448,-11.77229
1.919,-11.01213,9.15662,-15.46056
1.957,-11.33535,10.75356,-17.09460
1.989,-10.69969,11.62864,-18.12052
2.030,-8.95312,7.65067,-13.50569
2.059,-0.94691,-3.83431,11.02769
2.099,9.74799,-8.64905,13.61582
2.129,1.35033,-4.47237,-8.30788
2.166,9.82820,-11.09473,10.37886
2.199,7.51660,11.78187,10.83257
2.235,-2.20267,13.80497,5.02184
2.269,-2.89938,7.53336,6.64032
2.304,-1.84234,10.43154,5.33907
2.339,-1.34554,9.74560,5.01466
2.376,-2.18231,9.31344,4.24971
2.409,-0.49680,8.93037,4.66869
2.446,-0.69671,8.28992,4.66989
2.479,-2.49236,7.97269,3.34829
2.521,-1.83994,8.57244,2.45765
2.549,-1.71664,7.79193,3.84150
2.588,-1.90578,7.91523,3.70024
2.619,-2.07697,6.17345,3.29322
2.657,-2.31878,5.75207,2.26252
2.689,-2.39779,3.75531,0.55426
2.724,-2.35470,5.69581,2.30202
2.760,-1.13964,2.39300,0.86311
