time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,-0.65362,-1.68672,8.63110
0.024,1.52271,-0.80206,9.85813
0.066,2.19189,-0.74101,9.87608
0.105,2.20626,-0.95289,9.75517
0.144,1.99317,-0.82959,9.58040
0.184,1.97163,-1.10852,9.44752
0.225,2.37385,-0.79128,9.81862
0.265,2.14401,-0.64763,9.59596
0.304,2.11647,-0.62249,9.53132
0.345,2.16316,-0.54348,9.53611
0.384,2.16795,-0.49081,9.51216
0.424,1.92374,-0.73981,9.50977
0.465,2.32357,-0.73861,9.70370
0.499,2.45525,-0.91578,9.81503
0.535,2.13443,-0.80445,9.58998
0.577,2.40737,-0.96367,9.68933
0.610,2.37984,-0.90501,9.72525
0.649,2.09134,-0.95888,9.57920
0.713,2.29604,-0.89423,9.53730
0.730,2.52469,-1.03190,9.55526
0.766,2.29843,-0.99718,9.58638
0.809,2.52588,-0.80685,9.64624
0.844,2.69348,-1.10014,9.88207
0.885,2.25893,-1.05225,9.51216
0.918,2.40258,-1.03190,9.75517
0.955,2.68869,-1.25696,9.71088
0.988,2.70545,-1.28808,9.78271
1.026,2.25893,-2.17394,8.96868
1.065,2.80361,-1.20668,9.13148
1.105,3.24295,-0.20710,9.79827
1.145,1.40300,-0.04190,9.02973
1.184,2.19788,0.53750,9.45829
1.224,2.41934,0.79847,9.89883
1.264,2.19069,0.14245,9.29549
1.304,1.81959,0.25139,9.84975
1.344,2.24576,-0.27533,9.24641
1.384,2.88860,0.20710,9.33619
1.424,3.09451,-0.22984,8.60955
1.464,3.03585,0.03591,7.73686
1.504,3.95163,-0.09936,8.35457
1.539,4.20901,0.02634,7.39569
1.578,3.70862,-0.10415,7.57645
1.623,4.10725,-0.53870,9.24162
1.649,3.62961,-0.49799,8.36055
1.685,4.23654,-0.88825,8.39407
1.725,3.71221,-1.09654,8.40245
1.757,3.11246,-1.44251,8.21929
1.796,2.79044,-1.87586,9.92995
1.846,4.50589,-1.86867,10.63265
1.869,3.83192,-1.33357,10.24718
1.906,3.43448,-1.95846,10.93791
1.945,3.66313,-2.16915,11.58554
1.976,4.22936,-1.89980,12.65336
2.010,3.81995,-1.72023,12.28226
2.045,4.40054,-1.58736,13.85764
2.080,4.32034,-0.76495,13.85405
2.116,5.22295,-0.70629,14.82729
2.149,5.88854,-0.34955,14.86919
2.185,5.97952,0.73502,15.45577
2.239,6.74566,2.16196,15.92743
2.265,5.17746,2.54982,13.77504
2.305,5.61680,3.01191,12.26430
2.345,4.78601,3.66193,10.38724
2.379,2.99874,3.73017,7.81587
2.416,2.25294,4.30956,7.22570
2.454,1.51074,3.95283,5.84185
2.485,0.11372,3.69545,4.25928
2.525,-0.85952,3.14000,2.55342
2.565,-1.41856,2.52708,0.88107
2.596,-2.32716,2.15239,-0.55186
2.636,-3.50032,2.31998,-2.86107
2.670,-4.31675,2.80122,-4.24492
2.710,-4.89016,3.28006,-5.11521
2.745,-4.84586,3.45364,-5.52941
2.791,-5.10444,3.68228,-7.25563
2.819,-6.23690,3.91931,-8.66462
2.858,-7.39329,3.95881,-11.56878
2.890,-8.62870,4.38259,-14.94341
2.933,-10.40759,4.25809,-16.96412
2.965,-12.86524,4.38019,-20.92293
3.010,-16.09622,4.69982,-27.22447
3.045,-13.31296,2.86586,-23.92406
3.084,-9.71208,-3.43688,-17.32325
3.110,-1.85311,-15.22233,7.56448
3.149,-1.77171,-32.41629,17.98764
3.185,15.35521,-19.37029,17.07664
3.225,4.67468,17.87271,16.29733
3.265,6.97551,0.48363,14.18684
3.296,0.99359,5.81911,6.40569
3.336,0.73382,7.23288,4.02705
3.370,1.73580,9.71806,5.85741
3.416,-1.21506,8.09360,2.96881
3.449,0.22625,7.86016,3.73017
3.488,1.14203,9.04649,3.58651
