time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,1.11809,-3.01909,9.73602
0.012,2.12964,-2.24337,9.88566
0.046,1.84234,-2.24217,9.39126
0.088,2.00634,-1.95965,9.44991
0.117,1.99078,-2.25534,9.22007
0.151,2.29245,-2.37505,9.44872
0.187,2.37026,-2.40378,9.37450
0.222,2.39181,-2.21105,9.07402
0.258,2.56060,-2.24816,9.01537
0.292,2.50314,-2.19189,9.39006
0.326,2.48877,-2.14520,8.92319
0.362,2.47560,-2.37026,9.36372
0.397,2.43371,-1.91297,9.08480
0.432,2.27569,-1.90459,9.07881
0.467,1.93811,-1.89022,8.88728
0.502,1.19471,-2.12485,8.14986
0.538,1.53708,-2.47680,8.59878
0.572,2.51391,-4.13479,9.18416
0.607,3.79481,-3.87741,9.76475
0.642,3.98874,-2.86466,10.18015
0.678,3.75171,-2.13323,9.97185
0.716,3.38899,-2.23738,9.65701
0.753,3.80558,-2.78805,9.30147
0.787,3.59849,-2.47441,9.16261
0.823,3.67989,-2.35230,9.18655
0.858,3.61764,-2.38343,9.08719
0.892,3.42251,-3.44166,9.35774
0.927,3.58651,-3.82115,9.29669
0.962,3.04542,-3.66552,9.16860
0.998,2.72939,-3.23337,9.07881
1.051,2.20386,-2.85269,8.54251
1.068,2.18112,-2.79164,8.64067
1.107,2.11288,-2.77368,8.70173
1.137,2.40258,-2.66475,8.85256
1.173,2.52469,-2.75094,8.95072
1.207,3.06458,-2.96881,9.04889
1.242,2.97599,-2.76889,9.45710
1.277,2.67552,-2.65397,9.05248
1.311,2.47201,-2.50314,8.81425
1.346,3.10528,-2.61567,9.35893
1.382,3.02627,-2.53307,9.09557
1.418,2.97001,-2.58095,8.92199
1.453,3.07416,-2.69348,8.88369
1.486,3.39857,-2.68390,9.07283
1.523,3.38899,-2.68869,8.91481
1.558,3.46441,-2.94128,8.67180
1.597,3.79840,-3.10408,8.42400
1.627,4.35146,-3.52187,8.72926
1.663,5.54018,-4.12282,8.57962
1.697,5.75686,-4.25091,7.77517
1.733,3.83072,-2.52229,7.39808
1.767,2.76411,-2.20386,7.71172
1.802,3.27527,-1.82917,6.76961
1.837,5.23133,-1.08218,8.23965
1.872,4.46160,-1.96803,9.53850
1.907,3.47399,-1.25097,8.31147
1.942,4.57173,-1.45448,9.33619
1.978,4.23055,-1.42694,8.46470
2.019,4.43167,-1.25935,8.47787
2.047,4.65553,-1.82558,8.98903
2.083,5.66588,-1.84354,8.25401
2.117,5.79038,-1.93451,8.01220
2.152,5.20978,-2.54145,8.42639
2.187,4.76686,-2.01352,9.09557
2.222,5.24929,-2.81438,9.63307
2.258,5.46117,-1.61609,10.43034
2.292,4.09648,-1.48560,10.26993
2.328,3.92529,-1.10133,11.34852
2.362,4.29161,-1.48321,12.56238
2.398,4.26048,-0.96726,13.60745
2.433,5.70299,-0.75776,14.44422
2.473,6.17824,-0.68953,14.04199
2.509,6.28717,0.02394,15.04516
2.542,5.42646,0.17478,13.83489
2.579,5.83108,0.35554,13.16691
2.613,6.62476,1.42575,12.20085
2.647,5.42047,1.79685,11.20846
2.682,4.13957,3.16753,9.78750
2.718,3.51708,3.16035,9.45111
2.752,2.83952,3.89776,8.33182
2.787,1.66996,4.98832,6.45477
2.822,0.18794,5.03740,5.42047
2.865,-0.05028,5.45639,4.40533
2.893,-0.34477,6.12437,2.82875
2.933,-1.15041,5.67306,2.34871
2.962,-0.56623,5.50188,2.00993
3.001,-1.15760,4.71777,1.31202
3.032,-1.73699,3.86424,0.45131
3.070,-2.04944,3.44047,-0.33758
3.105,-2.68869,3.23217,-1.91416
3.138,-3.79122,2.64440,-3.19865
3.173,-5.45519,2.76650,-4.41850
3.207,-6.15310,2.95325,-7.11676
