time,X_value,Y_value,Z_value
0.000,0.00000,0.00000,0.00000
0.000,0.64883,-2.03866,10.18015
0.015,1.29167,-1.80283,9.04769
0.050,1.48081,-1.78607,9.73602
0.085,1.47722,-1.64482,9.69412
0.121,1.16837,-1.21386,9.63307
0.156,1.16837,-1.20668,9.67617
0.191,1.31921,-0.94451,9.64384
0.226,1.27731,-1.25217,9.49181
0.260,1.72502,-1.13605,9.63906
0.296,2.01472,-1.36350,9.92157
0.331,1.74298,-1.10014,9.63068
0.365,1.78847,-1.41138,9.54209
0.401,1.70587,-1.07500,9.79109
0.436,1.61968,-0.84515,9.48822
0.472,1.56820,-0.96606,9.59596
0.506,1.99317,-1.13365,9.74799
0.543,2.08415,-1.57419,10.00417
0.577,2.10331,-1.30604,9.91080
0.611,2.00754,-1.71425,9.72285
0.645,2.23379,-1.70108,10.12268
0.682,1.84354,-1.47004,9.99938
0.722,1.41378,-1.47243,9.56005
0.756,1.73101,-1.50356,9.78151
0.791,1.72502,-1.61728,9.67617
0.826,1.70467,-1.36110,9.51695
0.861,1.74418,-1.61968,9.69173
0.896,1.89142,-1.48560,9.73482
0.931,1.91057,-1.43772,9.66180
0.966,1.72263,-1.41737,9.56244
1.001,1.83875,-1.36110,9.56364
1.038,1.81480,-1.41378,9.57082
1.071,1.91177,-1.38864,9.51216
1.111,2.00514,-1.32519,9.51815
1.141,1.90219,-1.39821,9.56124
1.180,1.75974,-1.41497,9.42478
1.210,2.37026,-1.56102,9.60434
1.246,2.32836,-1.73699,9.17219
1.281,2.72460,-1.93092,8.39766
1.316,3.22858,-2.33794,8.52096
1.359,3.11964,-2.73777,7.93917
1.386,3.86424,-2.14161,7.49505
1.421,5.10803,-2.44328,8.00142
1.457,5.51504,-2.53187,8.01339
1.493,5.98431,-1.17316,7.49146
1.526,5.29358,-2.39181,8.01220
1.566,5.76165,-1.07859,8.23965
1.602,5.28999,-1.74777,9.04170
1.637,5.86699,-1.59095,8.47667
1.672,5.98550,-0.75776,8.68736
1.706,5.48033,-1.80523,10.53209
1.743,5.29957,-1.42694,8.90523
1.777,4.58011,-0.84156,7.82904
1.810,5.25048,-1.26055,8.55448
1.846,5.53061,-1.61489,8.30429
1.883,4.61961,-1.26414,7.46033
1.916,5.10444,-1.54187,9.64863
1.951,5.48871,-1.22224,9.67377
1.985,3.59011,-1.20309,8.32943
2.026,4.74052,0.88107,11.37485
2.056,3.81995,-0.90261,11.33056
2.095,4.18506,0.60094,11.83454
2.126,3.40695,-0.25379,13.16811
2.162,5.01944,-0.00599,13.55717
2.199,4.05219,0.24541,13.99052
2.237,4.37301,0.78171,13.84806
2.271,5.06733,1.32519,14.37598
2.324,4.59208,1.58496,13.49851
2.346,4.39456,2.48159,12.85327
2.381,3.71101,2.94367,12.15057
2.411,3.48356,3.85945,10.77870
2.447,3.02029,4.47117,10.58596
2.481,2.05662,4.34548,9.96946
2.518,1.35153,4.80756,8.10557
2.551,0.64763,3.97437,7.04973
2.590,0.22865,3.10887,5.20021
2.621,-0.40462,2.59531,3.80678
2.657,-1.72622,2.82396,1.25336
2.691,-2.74495,3.25013,-0.51715
2.726,-3.50391,3.90255,-2.08415
2.761,-4.14436,4.05458,-3.55778
2.804,-4.64236,4.71059,-4.87340
2.832,-4.95600,4.58490,-5.16429
2.877,-5.57490,4.93684,-6.55772
2.901,-6.61278,6.87495,-10.11071
2.938,-9.27753,6.41287,-12.68448
2.971,-10.72363,7.21373,-14.92904
3.006,-12.03924,8.13789,-17.25501
3.041,-10.85531,8.69095,-18.21628
3.077,-10.22564,9.82820,-17.03235
3.111,-8.12113,4.73693,-10.23042
3.146,1.34794,-5.47075,16.24586
3.181,8.64307,-12.00094,1.70228
3.216,8.85615,-3.77805,7.40886
3.252,-0.03950,9.67377,8.70891
3.294,8.99502,11.59392,14.12818
3.321,-4.71777,5.46955,9.48104
3.361,2.69587,7.32745,7.67222
3.391,-0.67277,5.69581,6.43561
3.430,-0.27892,9.60314,3.57454
3.461,-0.36033,8.06487,4.18985
3.505,1.53827,7.98466,3.89537
3.531,0.72784,8.23246,3.34949
3.566,1.92374,8.72327,3.24414
3.601,0.80685,9.34457,3.76488
3.637,1.92973,8.83101,2.96282
3.671,2.05063,7.95833,4.02346
3.706,1.11450,8.46709,4.59088
3.741,1.11450,8.16303,3.47040
3.785,1.63644,8.63110,4.68904
3.812,0.96007,8.69574,4.62201
3.861,-0.16281,9.12670,4.31315
3.881,0.97803,9.76355,5.24570
3.918,1.06183,8.63589,4.90333
3.951,0.76734,9.43316,4.96438
3.995,1.74537,9.14944,5.10564
4.022,1.75974,8.34020,5.09606
4.057,0.72544,8.61673,4.50589
4.091,1.27731,8.50540,4.63757
4.127,1.50715,8.81425,4.80037
4.161,0.77812,8.52934,4.02705
4.197,0.38427,8.27077,3.75890
4.236,-0.38786,7.33464,2.80002
4.273,-0.12570,7.15986,1.53947
4.305,0.26336,6.50864,1.45567
4.342,-0.22984,3.74693,-0.10774
4.380,-1.03310,2.82396,-0.17238
4.414,-0.00838,2.99036,-0.19513
4.446,-0.05626,0.47645,0.05028
4.481,0.18076,1.70587,2.41096
4.516,0.23104,0.49201,3.73136
4.553,0.90142,0.51834,5.67306
4.586,-1.65559,-1.95846,8.62631
4.621,-4.65672,-4.02824,11.49097
4.656,-4.94044,-5.23971,14.16170
4.698,-4.08211,-7.22570,13.33690
4.726,-5.57490,-10.33098,14.61780
4.765,-2.47920,-8.55089,15.27381
4.796,-5.28161,-11.10431,15.38275
4.834,-6.36020,-9.75637,13.06157
4.866,-2.74735,-9.89404,14.31733
4.906,-3.59130,-9.07163,13.58470
4.936,-3.62482,-7.82066,11.99495
4.973,-1.55144,-8.01220,12.22838
5.006,-1.27012,-7.62673,10.91038
5.041,-0.78171,-6.88094,9.36013
